City/Town,Ward,Pct,"Robyn K. Kennedy","Lisa K. Mair","All Others",Blanks,"Total Votes Cast"
,,,Democratic,Unenrolled
Berlin,,,947,771,2,140,"1,860"
Bolton,,,"1,786",854,238,8,"2,886"
Boylston,,,"1,420",989,10,214,"2,633"
Northborough,-,1,"1,076",497,4,133,"1,710"
Northborough,-,2,"1,088",481,4,121,"1,694"
Northborough,-,3,"1,112",539,2,147,"1,800"
Northborough,-,4,"1,121",626,8,129,"1,884"
"W. Boylston",-,1,940,527,11,144,"1,622"
"W. Boylston",-,2,"1,105",637,14,170,"1,926"
Worcester,1,1,525,132,2,40,699
Worcester,1,2,"1,139",311,8,146,"1,604"
Worcester,1,3,613,182,3,72,870
Worcester,1,4,"1,120",236,5,89,"1,450"
Worcester,1,5,637,229,6,89,961
Worcester,1,6,"1,010",321,9,126,"1,466"
Worcester,2,1,911,275,6,114,"1,306"
Worcester,2,2,731,246,11,75,"1,063"
Worcester,2,3,792,252,4,91,"1,139"
Worcester,2,4,584,85,4,57,730
Worcester,2,5,368,79,2,37,486
Worcester,2,6,631,177,1,69,878
Worcester,3,1,265,58,2,21,346
Worcester,3,2,225,26,1,21,273
Worcester,3,3,584,193,14,76,867
Worcester,3,4,287,38,2,27,354
Worcester,3,5,541,132,9,53,735
Worcester,3,6,568,145,3,52,768
Worcester,4,2,184,36,3,29,252
Worcester,4,3,284,31,3,33,351
Worcester,6,3,278,58,3,30,369
Worcester,7,1,669,144,10,71,894
Worcester,7,3,383,92,3,37,515
Worcester,8,1,257,57,5,20,339
Worcester,8,2,187,51,1,21,260
Worcester,8,3,126,21,0,3,150
Worcester,8,4,362,58,5,52,477
Worcester,8,6,215,50,0,24,289
Worcester,9,1,565,99,2,47,713
Worcester,9,2,914,190,3,94,"1,201"
Worcester,9,5,"1,061",332,7,128,"1,528"
Worcester,9,6,871,271,8,91,"1,241"
Worcester,10,1,268,57,3,34,362
Worcester,10,2,386,60,1,34,481
Worcester,10,3,317,33,3,37,390
Worcester,10,4,255,54,4,29,342
Worcester,10,5,219,45,5,20,289
Worcester,10,6,211,28,2,23,264
TOTALS,,,"30,138","10,805",456,"3,318","44,717"
