City/Town,Ward,Pct,"Liz Miranda","All Others",Blanks,"Total Votes Cast"
,,,Democratic
Boston,4,9,104,2,20,126
Boston,4,11,29,0,6,35
Boston,8,3,441,2,54,497
Boston,8,4,324,8,45,377
Boston,8,5,494,9,58,561
Boston,9,3,462,10,84,556
Boston,9,4,450,7,71,528
Boston,9,5,537,9,65,611
Boston,9,6,584,10,90,684
Boston,9,7,130,5,21,156
Boston,10,1,316,4,73,393
Boston,10,2,234,4,41,279
Boston,10,3,250,5,31,286
Boston,10,4,430,10,173,613
Boston,10,5,372,9,60,441
Boston,10,6,401,11,58,470
Boston,10,7,471,2,66,539
Boston,10,8,778,12,137,927
Boston,10,9,958,7,130,"1,095"
Boston,11,1,353,6,37,396
Boston,11,2,521,6,59,586
Boston,11,3,358,5,48,411
Boston,11,4,720,13,86,819
Boston,11,5,581,23,78,682
Boston,11,6,612,3,73,688
Boston,11,7,798,4,94,896
Boston,11,8,"1,124",5,112,"1,241"
Boston,11,9,573,3,73,649
Boston,11,10,702,4,69,775
Boston,12,1,494,4,66,564
Boston,12,2,570,6,79,655
Boston,12,3,267,4,39,310
Boston,12,4,327,5,47,379
Boston,12,5,216,7,44,267
Boston,12,6,313,3,34,350
Boston,12,7,562,6,91,659
Boston,12,8,211,4,30,245
Boston,12,9,288,5,48,341
Boston,13,1,350,9,38,397
Boston,13,2,160,3,21,184
Boston,13,4,305,4,33,342
Boston,14,1,550,5,61,616
Boston,14,2,595,6,78,679
Boston,14,3,291,0,34,325
Boston,14,4,374,6,45,425
Boston,14,5,267,1,26,294
Boston,14,6,290,4,37,331
Boston,14,7,280,7,32,319
Boston,14,8,420,4,53,477
Boston,14,9,272,2,33,307
Boston,14,10,320,2,57,379
Boston,14,11,315,7,33,355
Boston,14,12,190,2,29,221
Boston,14,13,317,5,43,365
Boston,14,14,320,3,52,375
Boston,18,1,750,6,89,845
Boston,18,2,495,5,61,561
Boston,18,3,559,4,68,631
Boston,18,4,580,4,79,663
Boston,18,5,651,3,79,733
Boston,18,6,800,15,103,918
Boston,18,7,571,15,103,689
Boston,18,8,944,11,165,"1,120"
Boston,18,13,362,4,59,425
Boston,18,14,364,3,58,425
Boston,18,15,550,4,97,651
Boston,18,18,648,10,183,841
Boston,18,21,693,3,107,803
Boston,19,1,732,7,88,827
Boston,19,4,"1,018",9,122,"1,149"
Boston,19,6,"1,077",10,138,"1,225"
Boston,19,7,804,8,100,912
Boston,19,12,638,6,117,761
TOTALS,,,"35,207",439,"5,011","40,657"
