City/Town,Ward,Pct,"Lydia Marie Edwards","All Others",Blanks,"Total Votes Cast"
,,,Democratic
Boston,1,1,611,17,111,739
Boston,1,2,391,18,85,494
Boston,1,3,"1,149",18,231,"1,398"
Boston,1,4,394,13,99,506
Boston,1,5,494,15,108,617
Boston,1,6,385,8,97,490
Boston,1,7,433,12,85,530
Boston,1,8,506,15,116,637
Boston,1,9,391,13,79,483
Boston,1,10,241,10,45,296
Boston,1,11,512,24,173,709
Boston,1,12,459,42,179,680
Boston,1,13,603,19,216,838
Boston,1,14,269,9,132,410
Boston,3,1,700,22,229,951
Boston,3,2,729,18,245,992
Boston,3,3,472,13,125,610
Boston,3,4,481,13,153,647
Boston,3,5,685,15,192,892
Boston,3,6,411,13,131,555
Boston,3,9,476,9,145,630
Boston,3,10,774,13,163,950
Boston,3,11,614,18,185,817
Boston,3,12,643,10,331,984
Boston,3,13,423,8,168,599
Boston,3,17,531,7,125,663
Boston,4,6,514,9,163,686
Boston,4,7,427,11,103,541
Boston,4,8,387,10,117,514
Boston,5,3,889,21,237,"1,147"
Boston,5,4,501,6,69,576
Boston,5,5,616,18,216,850
Boston,5,6,670,20,248,938
Boston,5,7,848,6,279,"1,133"
Boston,5,8,763,16,244,"1,023"
Boston,5,9,761,23,206,990
Boston,5,11,334,7,70,411
Revere,1,1,541,19,201,761
Revere,1,2,489,23,204,716
Revere,1,3,390,8,150,548
Revere,2,1,336,7,108,451
Revere,2,2,408,13,122,543
Revere,2,3,119,4,24,147
Revere,2,3A,29,0,5,34
Revere,3,1,311,17,199,527
Revere,3,2,344,17,173,534
Revere,3,3,368,16,185,569
Revere,4,1,443,20,245,708
Revere,4,2,346,16,172,534
Revere,4,3,444,21,237,702
Revere,5,1,682,23,390,"1,095"
Revere,5,2,474,25,188,687
Revere,5,3,336,16,148,500
Revere,6,1,469,28,370,867
Revere,6,2,440,20,358,818
Revere,6,3,397,13,171,581
Winthrop,-,1,756,25,385,"1,166"
Winthrop,-,2,783,30,408,"1,221"
Winthrop,-,3,750,25,292,"1,067"
Winthrop,-,4,623,24,270,917
Winthrop,-,5,827,32,401,"1,260"
Winthrop,-,6,804,25,274,"1,103"
TOTALS,,,"32,396","1,006","11,580","44,982"
