City/Town,Ward,Pct,"Cindy F. Friedman","All Others",Blanks,"Total Votes Cast"
,,,Democratic
Arlington,-,1,617,4,138,759
Arlington,-,2,914,5,198,"1,117"
Arlington,-,3,897,4,149,"1,050"
Arlington,-,4,797,3,176,976
Arlington,-,5,943,7,176,"1,126"
Arlington,-,6,833,0,172,"1,005"
Arlington,-,7,828,1,175,"1,004"
Arlington,-,8,943,9,241,"1,193"
Arlington,-,9,737,6,150,893
Arlington,-,10,995,7,199,"1,201"
Arlington,-,11,951,17,263,"1,231"
Arlington,-,12,"1,032",5,233,"1,270"
Arlington,-,13,871,14,263,"1,148"
Arlington,-,14,792,5,212,"1,009"
Arlington,-,15,841,2,167,"1,010"
Arlington,-,16,916,4,211,"1,131"
Arlington,-,17,722,5,133,860
Arlington,-,18,844,4,271,"1,119"
Arlington,-,19,911,5,215,"1,131"
Arlington,-,20,804,9,194,"1,007"
Arlington,-,21,919,4,188,"1,111"
Billerica,-,1,773,41,327,"1,141"
Billerica,-,2,"1,003",44,485,"1,532"
Billerica,-,3,925,35,498,"1,458"
Billerica,-,4,852,43,418,"1,313"
Billerica,-,5,"1,116",44,656,"1,816"
Billerica,-,6,874,47,421,"1,342"
Billerica,-,7,946,36,404,"1,386"
Billerica,-,8,883,35,501,"1,419"
Billerica,-,9,992,55,529,"1,576"
Billerica,-,10,"1,064",53,574,"1,691"
Billerica,-,11,809,41,404,"1,254"
Billerica,-,12,918,29,468,"1,415"
Burlington,-,1,"1,116",55,654,"1,825"
Burlington,-,2,723,30,294,"1,047"
Burlington,-,3,"1,024",25,520,"1,569"
Burlington,-,4,855,29,374,"1,258"
Burlington,-,5,"1,191",47,655,"1,893"
Burlington,-,6,"1,129",44,596,"1,769"
Burlington,-,7,"1,034",37,413,"1,484"
Lexington,-,1,"1,187",18,323,"1,528"
Lexington,-,2,"1,412",13,341,"1,766"
Lexington,-,4,"1,382",14,345,"1,741"
Lexington,-,5,"1,213",25,377,"1,615"
Lexington,-,6,"1,316",17,401,"1,734"
Lexington,-,7,"1,316",19,362,"1,697"
Woburn,1,1,577,6,336,919
Woburn,1,2,650,14,345,"1,009"
Woburn,1,2A,60,0,16,76
Woburn,2,1,733,15,432,"1,180"
Woburn,2,2,655,4,248,907
Woburn,3,1,756,11,362,"1,129"
Woburn,3,2,873,11,582,"1,466"
Woburn,4,1,748,7,501,"1,256"
Woburn,4,2,672,6,370,"1,048"
Woburn,5,1,728,3,282,"1,013"
Woburn,5,2,669,8,380,"1,057"
Woburn,6,1,476,9,228,713
Woburn,6,2,699,10,440,"1,149"
Woburn,7,1,783,2,659,"1,444"
Woburn,7,2,873,5,587,"1,465"
TOTALS,,,"54,112","1,107","21,232","76,451"
