City/Town,Ward,Pct,"Adam Gomez","All Others",Blanks,"Total Votes Cast"
,,,Democratic
Chicopee,2,A,400,20,94,514
Chicopee,2,B,708,35,267,"1,010"
Chicopee,3,A,504,23,198,725
Chicopee,3,A1,96,2,20,118
Chicopee,3,B,471,11,140,622
Chicopee,4,A,555,28,202,785
Chicopee,4,B,518,26,173,717
Chicopee,5,A,665,23,235,923
Chicopee,5,B,635,22,190,847
Chicopee,7,B,514,17,136,667
Chicopee,8,A,692,25,275,992
Springfield,1,A,232,9,24,265
Springfield,1,B,245,8,41,294
Springfield,1,C,153,5,14,172
Springfield,1,C1,17,1,3,21
Springfield,1,D,171,2,19,192
Springfield,1,D1,43,1,10,54
Springfield,1,E,173,3,29,205
Springfield,1,F,238,7,31,276
Springfield,1,G,190,6,25,221
Springfield,1,H,343,6,55,404
Springfield,2,A,239,7,53,299
Springfield,2,B,458,16,134,608
Springfield,2,C,243,7,58,308
Springfield,2,D,396,17,88,501
Springfield,2,E,400,14,96,510
Springfield,2,F,401,12,67,480
Springfield,2,G,439,15,147,601
Springfield,2,H,469,15,117,601
Springfield,3,A,205,3,30,238
Springfield,3,B,186,5,34,225
Springfield,3,C,163,3,39,205
Springfield,3,D,211,6,14,231
Springfield,3,E,122,5,14,141
Springfield,3,F,179,5,28,212
Springfield,3,G,134,2,29,165
Springfield,3,H,175,9,41,225
Springfield,4,A,453,14,55,522
Springfield,4,B,254,3,18,275
Springfield,4,C,199,5,20,224
Springfield,4,D,210,3,27,240
Springfield,4,E,223,2,16,241
Springfield,4,F,84,2,13,99
Springfield,4,G,317,3,42,362
Springfield,4,H,303,5,32,340
Springfield,5,A,372,10,53,435
Springfield,5,B,459,20,74,553
Springfield,5,C,337,20,102,459
Springfield,5,C1,8,0,3,11
Springfield,5,D,632,21,199,852
Springfield,5,E,527,8,79,614
Springfield,5,F,533,20,155,708
Springfield,5,G,632,21,221,874
Springfield,5,H,483,19,136,638
Springfield,6,A,291,13,58,362
Springfield,6,C,351,27,115,493
Springfield,6,D1,29,0,5,34
Springfield,6,E,230,10,33,273
Springfield,6,F,270,9,46,325
Springfield,6,G,405,10,79,494
Springfield,6,H,478,31,130,639
Springfield,7,A,538,25,153,716
Springfield,7,A1,20,0,5,25
Springfield,7,B1,5,0,1,6
Springfield,7,H,271,9,99,379
Springfield,8,A,390,19,130,539
Springfield,8,B,415,12,56,483
Springfield,8,B1,27,2,17,46
Springfield,8,C,379,19,91,489
Springfield,8,D,210,10,45,265
Springfield,8,E,220,10,50,280
Springfield,8,F,350,19,83,452
Springfield,8,G,375,13,108,496
Springfield,8,G1,9,1,4,14
Springfield,8,H,393,9,67,469
TOTALS,,,"23,665",845,"5,790","30,300"
