City/Town,Ward,Pct,"Jacob R. Oliveira","William E. Johnson","All Others",Blanks,"Total Votes Cast"
,,,Democratic,Republican
Belchertown,-,A,"1,078",624,0,44,"1,746"
Belchertown,-,B,922,765,0,33,"1,720"
Belchertown,-,C,"1,007",781,0,32,"1,820"
Belchertown,-,D,"1,142",522,0,28,"1,692"
Chicopee,1,A,532,446,1,29,"1,008"
Chicopee,1,B,663,544,2,29,"1,238"
Chicopee,6,AN,235,164,0,15,414
Chicopee,6,AS,382,313,0,19,714
Chicopee,6,BE,552,531,0,31,"1,114"
Chicopee,6,BW,100,96,0,4,200
Chicopee,8,B,421,413,0,23,857
Chicopee,9,B,593,495,0,39,"1,127"
"E. Longmeadow",-,1,789,590,2,35,"1,416"
"E. Longmeadow",-,2,635,566,1,33,"1,235"
"E. Longmeadow",-,2A,20,18,0,2,40
"E. Longmeadow",-,3,709,616,1,42,"1,368"
"E. Longmeadow",-,3A,36,34,0,2,72
"E. Longmeadow",-,4,558,626,0,35,"1,219"
"E. Longmeadow",-,4A,127,134,0,5,266
"E. Longmeadow",-,5,677,720,0,37,"1,434"
Granby,-,1,733,714,0,35,"1,482"
Granby,-,2,600,769,0,28,"1,397"
Granby,-,2A,9,18,0,1,28
Hampden,,,"1,043","1,251",0,58,"2,352"
Longmeadow,-,A,972,517,0,37,"1,526"
Longmeadow,-,B,895,463,2,42,"1,402"
Longmeadow,-,C,869,618,0,45,"1,532"
Longmeadow,-,D,864,569,0,42,"1,475"
Longmeadow,-,E,863,500,3,33,"1,399"
Ludlow,-,1,719,603,0,29,"1,351"
Ludlow,-,2,517,374,1,27,919
Ludlow,-,3,819,818,0,25,"1,662"
Ludlow,-,4,764,559,0,18,"1,341"
Ludlow,-,5,616,516,1,20,"1,153"
Ludlow,-,6,888,701,2,32,"1,623"
Palmer,-,1,599,606,0,26,"1,231"
Palmer,-,2,545,659,2,30,"1,236"
Palmer,-,3,522,383,0,24,929
Palmer,-,4,460,561,0,23,"1,044"
"S. Hadley",-,A,880,466,0,16,"1,362"
"S. Hadley",-,B,"1,079",562,0,36,"1,677"
"S. Hadley",-,C,986,676,0,30,"1,692"
"S. Hadley",-,D,668,291,0,19,978
"S. Hadley",-,E,990,680,0,37,"1,707"
Springfield,6,B,468,140,0,26,634
Springfield,6,D,518,275,0,31,824
Springfield,7,B,635,297,1,27,960
Springfield,7,C,566,302,2,27,897
Springfield,7,D,396,276,0,31,703
Springfield,7,E,283,98,0,17,398
Springfield,7,F,619,299,2,29,949
Springfield,7,G,596,351,3,27,977
Springfield,7,H1,42,27,0,4,73
Warren,-,A,543,758,0,53,"1,354"
Warren,-,B,196,241,0,12,449
Wilbraham,-,A,923,732,2,41,"1,698"
Wilbraham,-,B,805,699,1,46,"1,551"
Wilbraham,-,C,813,844,1,38,"1,696"
Wilbraham,-,D,929,816,1,42,"1,788"
TOTALS,,,"37,410","29,027",31,"1,681","68,149"
