City/Town,Ward,Pct,"John F. Keenan","Gary M. Innes","All Others",Blanks,"Total Votes Cast"
,,,Democratic,Republican
Abington,-,1,660,512,0,37,"1,209"
Abington,-,2,643,554,1,35,"1,233"
Abington,-,3,717,611,1,43,"1,372"
Abington,-,4,739,629,0,36,"1,404"
Abington,-,5,759,612,0,47,"1,418"
Braintree,-,3B,701,409,0,45,"1,155"
Braintree,-,4B,634,368,2,49,"1,053"
Braintree,-,6A,819,582,1,85,"1,487"
Hanover,-,1,874,"1,022",0,59,"1,955"
Hanover,-,2,840,912,0,54,"1,806"
Hanover,-,3,810,842,1,56,"1,709"
Hanover,-,4,905,974,0,56,"1,935"
Holbrook,-,1,616,293,2,33,944
Holbrook,-,2,604,440,1,43,"1,088"
Holbrook,-,3,579,354,0,36,969
Holbrook,-,4,532,344,1,28,905
Quincy,1,1,597,240,0,37,874
Quincy,1,2,504,216,1,55,776
Quincy,1,3,732,185,0,53,970
Quincy,1,4,"1,033",502,1,70,"1,606"
Quincy,1,5,988,520,2,66,"1,576"
Quincy,2,1,512,180,1,41,734
Quincy,2,2,543,212,1,38,794
Quincy,2,3,403,156,1,36,596
Quincy,2,4,505,214,0,28,747
Quincy,2,5,697,282,1,53,"1,033"
Quincy,3,1,907,286,2,52,"1,247"
Quincy,3,2,766,249,2,42,"1,059"
Quincy,3,3,588,252,1,38,879
Quincy,3,4,909,364,0,37,"1,310"
Quincy,3,5,541,170,0,32,743
Quincy,4,1,625,218,0,30,873
Quincy,4,2,780,363,2,51,"1,196"
Quincy,4,3,829,412,0,64,"1,305"
Quincy,4,4,546,159,1,27,733
Quincy,4,5,567,202,1,20,790
Quincy,5,1,337,106,0,17,460
Quincy,5,1A,222,79,0,19,320
Quincy,5,2,685,173,2,65,925
Quincy,5,3,834,272,2,47,"1,155"
Quincy,5,4,632,209,1,40,882
Quincy,5,5,872,318,0,43,"1,233"
Quincy,6,1,648,261,0,45,954
Quincy,6,2,566,161,0,36,763
Quincy,6,3,753,378,1,54,"1,186"
Quincy,6,4,627,196,0,30,853
Quincy,6,5,"1,150",540,1,70,"1,761"
Rockland,-,1,703,551,0,34,"1,288"
Rockland,-,2,706,569,1,35,"1,311"
Rockland,-,3,533,381,0,20,934
Rockland,-,4,558,448,0,20,"1,026"
Rockland,-,5,575,549,1,19,"1,144"
Rockland,-,6,658,555,2,42,"1,257"
TOTALS,,,"36,063","20,586",38,"2,248","58,935"
