City/Town,Ward,Pct,"Susan Lynn Moran","Kari Macrae","All Others",Blanks,"Total Votes Cast"
,,,Democratic,Republican
Bourne,-,1,660,722,1,52,"1,435"
Bourne,-,2,705,730,0,43,"1,478"
Bourne,-,3,304,353,0,18,675
Bourne,-,4,906,710,0,53,"1,669"
Bourne,-,5,686,571,0,47,"1,304"
Bourne,-,5A,121,120,0,7,248
Bourne,-,6,695,478,0,35,"1,208"
Bourne,-,7,609,536,0,26,"1,171"
Falmouth,-,1,"1,642",442,1,61,"2,146"
Falmouth,-,2,"1,278",547,1,58,"1,884"
Falmouth,-,3,"1,160",650,3,56,"1,869"
Falmouth,-,4,"1,120",802,0,53,"1,975"
Falmouth,-,5,"1,392",745,4,62,"2,203"
Falmouth,-,6,"1,307",684,1,60,"2,052"
Falmouth,-,7,"1,077",732,2,65,"1,876"
Falmouth,-,8,"1,067",737,1,67,"1,872"
Falmouth,-,9,"1,003",618,0,47,"1,668"
Kingston,-,1,782,634,0,66,"1,482"
Kingston,-,2,815,830,0,73,"1,718"
Kingston,-,3,797,798,1,42,"1,638"
Kingston,-,4,769,660,1,46,"1,476"
Mashpee,-,1,"1,043",614,0,50,"1,707"
Mashpee,-,2,723,625,1,49,"1,398"
Mashpee,-,3,708,596,0,40,"1,344"
Mashpee,-,4,823,518,0,35,"1,376"
Mashpee,-,5,"1,158",975,1,81,"2,215"
Pembroke,-,1,942,850,1,69,"1,862"
Pembroke,-,2,751,785,0,61,"1,597"
Pembroke,-,3,830,853,3,53,"1,739"
Pembroke,-,3A,8,4,0,0,12
Pembroke,-,4,832,806,2,69,"1,709"
Pembroke,-,5,816,731,0,60,"1,607"
Plymouth,-,1,641,411,0,25,"1,077"
Plymouth,-,2,813,527,0,35,"1,375"
Plymouth,-,3,890,509,0,52,"1,451"
Plymouth,-,4,811,604,0,43,"1,458"
Plymouth,-,5,814,619,0,47,"1,480"
Plymouth,-,6,"1,029",719,0,48,"1,796"
Plymouth,-,7,879,637,0,41,"1,557"
Plymouth,-,8,930,851,0,52,"1,833"
Plymouth,-,9,673,695,1,29,"1,398"
Plymouth,-,10,816,771,0,44,"1,631"
Plymouth,-,11,899,803,1,63,"1,766"
Plymouth,-,12,655,630,0,30,"1,315"
Plymouth,-,13,884,745,0,56,"1,685"
Plymouth,-,14,781,893,0,58,"1,732"
Plymouth,-,15,"1,569",981,0,84,"2,634"
Plymouth,-,16,"1,223",850,0,54,"2,127"
Plymouth,-,17,964,793,1,48,"1,806"
Plymouth,-,18,542,569,1,33,"1,145"
Plympton,,,722,712,0,59,"1,493"
Sandwich,-,1,"1,159",824,2,74,"2,059"
Sandwich,-,2,"1,071",805,0,57,"1,933"
Sandwich,-,3,922,740,3,47,"1,712"
Sandwich,-,4,926,828,4,52,"1,810"
Sandwich,-,5,806,729,0,51,"1,586"
Sandwich,-,6,738,792,2,46,"1,578"
TOTALS,,,"49,686","38,493",39,"2,832","91,050"
