City/Town,Ward,Pct,"Michael D. Brady","Jim Gordon","All Others",Blanks,"Total Votes Cast"
,,,Democratic,Republican
Avon,,,976,629,0,60,"1,665"
Brockton,1,A,479,83,0,18,580
Brockton,1,B,710,196,0,36,942
Brockton,1,C,549,191,1,14,755
Brockton,1,D,879,317,4,36,"1,236"
Brockton,2,A,307,49,0,23,379
Brockton,2,B,408,54,1,20,483
Brockton,2,C,262,36,0,25,323
Brockton,2,D,502,124,0,33,659
Brockton,3,A,512,116,1,38,667
Brockton,3,B,409,74,0,22,505
Brockton,3,C,781,290,0,32,"1,103"
Brockton,3,D,769,309,0,33,"1,111"
Brockton,4,A,241,45,2,11,299
Brockton,4,B,514,122,4,28,668
Brockton,4,C,615,234,0,49,898
Brockton,4,D,632,224,0,32,888
Brockton,5,A,349,72,1,20,442
Brockton,5,B,677,189,3,26,895
Brockton,5,C,482,97,0,21,600
Brockton,5,D,707,271,2,36,"1,016"
Brockton,6,A,491,149,0,14,654
Brockton,6,B,696,266,1,29,992
Brockton,6,C,592,197,1,22,812
Brockton,6,D,798,348,0,44,"1,190"
Brockton,7,A,406,77,0,20,503
Brockton,7,B,596,109,0,44,749
Brockton,7,C,567,120,1,39,727
Brockton,7,D,583,191,0,47,821
"E. Bridgewater",-,1,692,778,5,49,"1,524"
"E. Bridgewater",-,2,697,788,0,48,"1,533"
"E. Bridgewater",-,3,782,838,0,72,"1,692"
"E. Bridgewater",-,4,706,753,1,28,"1,488"
Halifax,-,1,809,948,0,51,"1,808"
Halifax,-,2,760,886,0,35,"1,681"
Halifax,-,2A,23,50,0,2,75
Hanson,-,1,729,935,0,52,"1,716"
Hanson,-,2,832,980,0,50,"1,862"
Hanson,-,3,659,768,0,42,"1,469"
Randolph,-,1,766,205,4,58,"1,033"
Randolph,-,2,608,148,1,41,798
Randolph,-,3,522,107,1,41,671
Randolph,-,7,565,165,0,47,777
Randolph,-,8,547,183,2,38,770
Whitman,-,1,890,811,2,57,"1,760"
Whitman,-,2,709,730,0,35,"1,474"
Whitman,-,3,764,737,0,48,"1,549"
Whitman,-,4,748,704,0,67,"1,519"
TOTALS,,,"29,297","16,693",38,"1,733","47,761"
