City/Town,Ward,Pct,"Marc R. Pacheco","Maria S. Collins","All Others",Blanks,"Total Votes Cast"
,,,Democratic,Republican
Berkley,-,1,752,761,3,40,"1,556"
Berkley,-,2,571,665,0,27,"1,263"
Carver,-,1,785,830,0,48,"1,663"
Carver,-,2,766,772,1,48,"1,587"
Carver,-,3,929,844,0,45,"1,818"
Dighton,-,1,555,533,0,23,"1,111"
Dighton,-,2,551,543,0,26,"1,120"
Dighton,-,3,507,468,1,27,"1,003"
Marion,,,"1,703","1,012",2,96,"2,813"
Middleborough,-,1,"1,047",954,0,64,"2,065"
Middleborough,-,2,599,504,1,27,"1,131"
Middleborough,-,3,692,723,1,35,"1,451"
Middleborough,-,4,504,416,0,27,947
Middleborough,-,5,598,649,0,33,"1,280"
Middleborough,-,5A,100,150,0,12,262
Middleborough,-,6,665,676,1,37,"1,379"
Middleborough,-,7,462,467,1,36,966
Middleborough,-,7A,143,213,0,8,364
Raynham,-,1,831,616,0,64,"1,511"
Raynham,-,2,487,412,0,30,929
Raynham,-,2A,277,302,0,29,608
Raynham,-,3,909,721,0,52,"1,682"
Raynham,-,4,737,633,0,50,"1,420"
Raynham,-,4A,18,28,0,1,47
Rehoboth,-,1,620,713,0,43,"1,376"
Rehoboth,-,2,621,659,0,37,"1,317"
Rehoboth,-,3,620,733,0,44,"1,397"
Rehoboth,-,4,584,700,0,55,"1,339"
Seekonk,-,1,740,725,2,48,"1,515"
Seekonk,-,2,973,806,2,59,"1,840"
Seekonk,-,3,735,644,1,25,"1,405"
Seekonk,-,4,805,632,1,38,"1,476"
Taunton,1,A,531,291,0,27,849
Taunton,1,A1,32,8,0,1,41
Taunton,1,B,702,578,0,47,"1,327"
Taunton,2,A,312,152,0,10,474
Taunton,2,B,452,268,0,27,747
Taunton,3,A,567,338,2,43,950
Taunton,3,B,691,480,0,48,"1,219"
Taunton,4,A,640,536,1,50,"1,227"
Taunton,4,B,665,439,0,40,"1,144"
Taunton,4,B1,10,14,0,4,28
Taunton,5,A,497,265,0,36,798
Taunton,5,B,460,247,1,22,730
Taunton,6,A,444,266,0,22,732
Taunton,6,B,594,357,0,32,983
Taunton,7,A,744,523,0,52,"1,319"
Taunton,7,B,746,718,1,62,"1,527"
Taunton,8,A,779,550,0,58,"1,387"
Taunton,8,B,841,587,0,68,"1,496"
Wareham,-,1,831,592,4,39,"1,466"
Wareham,-,2,926,669,1,35,"1,631"
Wareham,-,3,874,640,3,42,"1,559"
Wareham,-,4,812,611,0,36,"1,459"
Wareham,-,5,815,726,2,31,"1,574"
Wareham,-,6,705,578,0,39,"1,322"
TOTALS,,,"35,556","29,937",32,"2,105","67,630"
