City/Town,Ward,Pct,"John J. Cronin","Kenneth B. Hoyt","All Others",Blanks,"Total Votes Cast"
,,,Democratic,Republican
Ashby,,,729,692,0,45,"1,466"
Clinton,-,1,859,558,0,48,"1,465"
Clinton,-,2,648,388,2,23,"1,061"
Clinton,-,3,828,547,2,45,"1,422"
Clinton,-,4,694,490,1,39,"1,224"
Fitchburg,1,A,404,213,0,24,641
Fitchburg,1,B,500,253,1,31,785
Fitchburg,2,A,358,221,1,27,607
Fitchburg,2,B,518,322,1,23,864
Fitchburg,3,A,858,519,0,77,"1,454"
Fitchburg,3,B,546,400,0,32,978
Fitchburg,4,A,345,217,1,24,587
Fitchburg,4,B,352,159,0,62,573
Fitchburg,5,A,810,606,1,54,"1,471"
Fitchburg,5,B,306,140,1,12,459
Fitchburg,6,A,648,440,1,42,"1,131"
Fitchburg,6,B,409,188,1,38,636
Groton,-,1,"1,228",567,2,57,"1,854"
Groton,-,2,"1,090",653,2,55,"1,800"
Groton,-,3,"1,141",564,2,64,"1,771"
Groton,-,3A,77,44,0,5,126
Lancaster,-,1,712,585,0,51,"1,348"
Lancaster,-,2,"1,021",693,0,71,"1,785"
Leominster,1,A,717,512,2,46,"1,277"
Leominster,1,B,726,401,2,63,"1,192"
Leominster,1,C,493,329,0,32,854
Leominster,2,A,361,174,0,18,553
Leominster,2,B,497,349,0,29,875
Leominster,2,C,277,192,0,22,491
Leominster,3,A,572,336,0,35,943
Leominster,3,B,748,499,0,62,"1,309"
Leominster,3,C,590,436,0,39,"1,065"
Leominster,4,A,696,535,0,56,"1,287"
Leominster,4,B,676,479,0,46,"1,201"
Leominster,4,C,482,289,0,42,813
Leominster,5,A,514,288,0,31,833
Leominster,5,B,637,392,0,31,"1,060"
Leominster,5,C,418,258,0,22,698
Lunenburg,-,A,781,504,0,22,"1,307"
Lunenburg,-,B,737,428,0,29,"1,194"
Lunenburg,-,B1,38,25,0,1,64
Lunenburg,-,C,727,527,1,22,"1,277"
Lunenburg,-,C1,5,5,0,0,10
Lunenburg,-,D,866,560,1,29,"1,456"
Shirley,,,"1,559","1,071",2,64,"2,696"
Townsend,-,1,605,671,0,48,"1,324"
Townsend,-,2,650,627,1,52,"1,330"
Townsend,-,3,687,617,0,38,"1,342"
Westford,-,1,828,590,3,69,"1,490"
Westford,-,2,891,532,1,52,"1,476"
Westford,-,3,"1,004",670,2,64,"1,740"
Westford,-,4,965,570,0,58,"1,593"
Westford,-,5,942,638,0,55,"1,635"
Westford,-,6,910,672,1,54,"1,637"
Westford,-,7,"1,104",603,0,52,"1,759"
TOTALS,,,"36,784","24,238",35,"2,232","63,289"
