City/Town,Ward,Pct,"Deborah B. Goldberg","Cristina Crawford","All Others",Blanks,"Total Votes Cast"
,,,Democratic,Libertarian
Abington,-,1,748,325,3,133,"1,209"
Abington,-,2,730,354,0,149,"1,233"
Abington,-,3,832,365,6,169,"1,372"
Abington,-,4,863,367,2,172,"1,404"
Abington,-,5,882,363,3,170,"1,418"
Acton,-,1,822,172,1,77,"1,072"
Acton,-,2,"1,216",237,2,117,"1,572"
Acton,-,3,"1,388",258,4,133,"1,783"
Acton,-,4,"1,267",206,0,108,"1,581"
Acton,-,5,"1,242",201,5,123,"1,571"
Acton,-,6,860,155,2,73,"1,090"
Acton,-,6A,384,60,0,23,467
Acton,-,7,936,185,1,102,"1,224"
Acushnet,-,1,694,378,7,169,"1,248"
Acushnet,-,2,652,394,3,220,"1,269"
Acushnet,-,2A,74,48,0,15,137
Acushnet,-,3,806,477,6,215,"1,504"
Adams,-,1,340,92,1,41,474
Adams,-,2,456,131,0,47,634
Adams,-,3,404,119,1,63,587
Adams,-,4,377,100,0,41,518
Adams,-,5,511,138,0,46,695
Agawam,-,1,648,356,10,152,"1,166"
Agawam,-,2,904,468,9,251,"1,632"
Agawam,-,3,699,382,7,184,"1,272"
Agawam,-,4,634,326,10,155,"1,125"
Agawam,-,5,937,449,14,224,"1,624"
Agawam,-,6,766,422,7,217,"1,412"
Agawam,-,7,869,494,10,254,"1,627"
Agawam,-,8,897,429,6,211,"1,543"
Alford,,,221,18,0,33,272
Amesbury,-,1,"1,103",308,5,163,"1,579"
Amesbury,-,2,869,239,3,116,"1,227"
Amesbury,-,3,"1,036",246,4,126,"1,412"
Amesbury,-,4,685,215,16,98,"1,014"
Amesbury,-,5,857,323,5,159,"1,344"
Amesbury,-,6,748,209,4,101,"1,062"
Amherst,-,1A,645,41,3,32,721
Amherst,-,1B,359,25,0,20,404
Amherst,-,2A,411,37,0,33,481
Amherst,-,2B,"1,177",99,3,78,"1,357"
Amherst,-,3A,386,38,0,30,454
Amherst,-,3B,"1,103",60,2,64,"1,229"
Amherst,-,4A,581,35,1,21,638
Amherst,-,4B,351,18,0,19,388
Amherst,-,5A,422,27,0,24,473
Amherst,-,5B,"1,821",95,1,98,"2,015"
Andover,-,1,834,188,0,81,"1,103"
Andover,-,2,"1,077",322,6,178,"1,583"
Andover,-,3,"1,305",326,3,169,"1,803"
Andover,-,4,659,217,2,117,995
Andover,-,4A,315,93,2,46,456
Andover,-,5,"1,107",358,6,155,"1,626"
Andover,-,6,"1,005",359,12,147,"1,523"
Andover,-,7,"1,160",377,7,191,"1,735"
Andover,-,8,"1,211",367,9,146,"1,733"
Andover,-,9,"1,045",333,13,136,"1,527"
Andover,-,10,"1,153",368,15,176,"1,712"
Aquinnah,,,218,29,0,16,263
Arlington,-,1,625,77,1,56,759
Arlington,-,2,938,102,2,75,"1,117"
Arlington,-,3,914,69,1,66,"1,050"
Arlington,-,4,817,87,0,72,976
Arlington,-,5,955,96,2,73,"1,126"
Arlington,-,6,860,89,1,55,"1,005"
Arlington,-,7,834,97,0,73,"1,004"
Arlington,-,8,982,110,0,101,"1,193"
Arlington,-,9,752,82,1,58,893
Arlington,-,10,"1,039",77,2,83,"1,201"
Arlington,-,11,966,150,6,109,"1,231"
Arlington,-,12,"1,062",115,1,92,"1,270"
Arlington,-,13,875,147,4,122,"1,148"
Arlington,-,14,839,86,1,83,"1,009"
Arlington,-,15,846,87,3,74,"1,010"
Arlington,-,16,928,122,1,80,"1,131"
Arlington,-,17,719,71,3,67,860
Arlington,-,18,847,137,2,133,"1,119"
Arlington,-,19,940,107,4,80,"1,131"
Arlington,-,20,828,105,2,72,"1,007"
Arlington,-,21,933,116,1,61,"1,111"
Ashburnham,-,1,843,429,17,177,"1,466"
Ashburnham,-,2,860,354,21,146,"1,381"
Ashby,,,806,461,0,199,"1,466"
Ashfield,,,793,119,0,64,976
Ashland,-,1,787,196,0,131,"1,114"
Ashland,-,2,"1,106",297,0,147,"1,550"
