City/Town,Ward,Pct,"Richard E. Neal","Dean James Martilli","All Others",Blanks,"Total Votes Cast"
,,,Democratic,Republican
Adams,-,1,331,137,1,5,474
Adams,-,2,416,200,3,15,634
Adams,-,3,370,208,0,9,587
Adams,-,4,343,164,1,10,518
Adams,-,5,489,194,0,12,695
Agawam,-,1,563,572,1,30,"1,166"
Agawam,-,2,801,781,3,47,"1,632"
Agawam,-,3,613,633,2,24,"1,272"
Agawam,-,4,572,527,4,22,"1,125"
Agawam,-,5,825,758,1,40,"1,624"
Agawam,-,6,673,700,0,39,"1,412"
Agawam,-,7,739,849,1,38,"1,627"
Agawam,-,8,774,730,1,38,"1,543"
Alford,,,216,45,0,11,272
Becket,,,510,271,0,34,815
Belchertown,-,A,"1,104",591,2,49,"1,746"
Belchertown,-,B,946,728,0,46,"1,720"
Belchertown,-,C,"1,039",739,1,41,"1,820"
Belchertown,-,D,"1,174",474,0,44,"1,692"
Blandford,,,253,357,0,8,618
Brimfield,,,758,956,2,26,"1,742"
Brookfield,,,705,742,1,33,"1,481"
Charlemont,,,360,156,0,16,532
Charlton,-,1,668,694,0,48,"1,410"
Charlton,-,2,612,851,1,45,"1,509"
Charlton,-,3,625,738,0,30,"1,393"
Charlton,-,4,644,726,0,36,"1,406"
Charlton,-,4A,13,25,0,0,38
Cheshire,,,802,547,0,22,"1,371"
Chester,,,236,303,0,12,551
Chicopee,1,A,579,405,2,22,"1,008"
Chicopee,1,B,718,504,1,15,"1,238"
Chicopee,2,A,345,157,0,12,514
Chicopee,2,B,557,422,2,29,"1,010"
Chicopee,3,A,383,332,1,9,725
Chicopee,3,A1,90,23,1,4,118
Chicopee,3,B,366,247,2,7,622
Chicopee,4,A,466,292,4,23,785
Chicopee,4,B,464,245,0,8,717
Chicopee,5,A,567,343,1,12,923
Chicopee,5,B,492,335,2,18,847
Chicopee,6,AN,253,149,0,12,414
Chicopee,6,AS,420,281,1,12,714
Chicopee,6,BE,569,522,2,21,"1,114"
Chicopee,6,BW,108,90,0,2,200
Chicopee,7,A,354,210,1,18,583
Chicopee,7,B,422,229,0,16,667
Chicopee,8,A,545,430,2,15,992
Chicopee,8,B,453,381,0,23,857
Chicopee,9,A,588,367,3,20,978
Chicopee,9,B,633,480,0,14,"1,127"
Clarksburg,,,445,243,0,10,698
Cummington,,,344,105,1,19,469
Dalton,-,1,924,370,1,32,"1,327"
Dalton,-,2,913,320,5,45,"1,283"
Dudley,-,1,626,606,1,48,"1,281"
Dudley,-,2,400,466,0,14,880
Dudley,-,3,399,461,1,27,888
Dudley,-,4,522,599,1,38,"1,160"
"E. Brookfield",,,450,500,0,25,975
"E. Longmeadow",-,1,813,551,4,48,"1,416"
"E. Longmeadow",-,2,667,529,0,39,"1,235"
"E. Longmeadow",-,2A,19,20,0,1,40
"E. Longmeadow",-,3,773,563,1,31,"1,368"
"E. Longmeadow",-,3A,35,37,0,0,72
"E. Longmeadow",-,4,606,580,1,32,"1,219"
"E. Longmeadow",-,4A,135,122,0,9,266
"E. Longmeadow",-,5,739,658,0,37,"1,434"
Easthampton,-,1,"1,162",397,9,39,"1,607"
Easthampton,-,2,"1,145",256,4,46,"1,451"
Easthampton,-,3,"1,292",295,8,51,"1,646"
Easthampton,-,4,"1,257",280,15,55,"1,607"
Easthampton,-,5,"1,081",600,0,31,"1,712"
Egremont,,,614,118,0,28,760
Florida,,,149,131,0,7,287
Granby,-,1,819,615,0,48,"1,482"
Granby,-,2,679,677,0,41,"1,397"
Granby,-,2A,17,11,0,0,28
Granville,,,304,434,0,12,750
"Great Barrington",-,A,632,121,1,21,775
"Great Barrington",-,B,638,130,3,22,793
"Great Barrington",-,C,475,72,0,17,564
"Great Barrington",-,D,699,163,0,17,879
Hampden,,,"1,153","1,153",1,45,"2,352"
Hancock,,,200,148,0,6,354
Hawley,,,108,45,0,5,158
Hinsdale,,,548,294,0,16,858
Holland,,,509,533,0,26,"1,068"
Holyoke,1,A,177,58,0,12,247
Holyoke,1,B,277,57,5,30,369
Holyoke,2,A,297,105,0,12,414
Holyoke,2,B,110,40,0,20,170
Holyoke,3,A,478,156,6,38,678
Holyoke,3,B,685,278,3,47,"1,013"
Holyoke,4,A,208,65,4,17,294
Holyoke,4,B,409,102,1,43,555
Holyoke,5,A,807,523,8,80,"1,418"
Holyoke,5,B,446,283,0,34,763
Holyoke,6,A,491,117,3,34,645
Holyoke,6,B,542,183,6,45,776
Holyoke,7,A,935,342,14,70,"1,361"
Holyoke,7,B,796,204,8,60,"1,068"
Huntington,,,430,444,0,22,896
Lanesborough,,,856,388,2,39,"1,285"
Lee,,,"1,676",666,5,69,"2,416"
Lenox,,,"2,051",427,7,62,"2,547"
Longmeadow,-,A,"1,023",463,3,37,"1,526"
Longmeadow,-,B,959,403,8,32,"1,402"
Longmeadow,-,C,949,555,1,27,"1,532"
Longmeadow,-,D,909,521,2,43,"1,475"
Longmeadow,-,E,931,431,0,37,"1,399"
Ludlow,-,1,687,616,1,47,"1,351"
Ludlow,-,2,494,391,0,34,919
Ludlow,-,3,765,844,1,52,"1,662"
Ludlow,-,4,700,594,0,47,"1,341"
Ludlow,-,5,567,542,1,43,"1,153"
Ludlow,-,6,831,742,2,48,"1,623"
Middlefield,,,160,88,1,8,257
Monroe,,,22,16,0,0,38
Monson,-,A,589,610,0,34,"1,233"
Monson,-,B,588,593,0,40,"1,221"
Monson,-,C,623,629,0,35,"1,287"
Monterey,,,400,87,0,13,500
Montgomery,,,205,237,0,6,448
"Mount Washington",,,86,17,0,3,106
"New Ashford",,,77,40,0,1,118
"New Braintree",,,233,243,0,12,488
"New Marlborough",,,535,210,0,21,766
"N. Adams",1,1,616,224,0,27,867
"N. Adams",2,2,596,185,4,18,803
"N. Adams",3,3,427,111,0,18,556
"N. Adams",4,4,659,248,0,29,936
"N. Adams",5,5,542,176,0,22,740
"N. Brookfield",,,866,"1,076",0,62,"2,004"
Otis,,,437,316,3,13,769
Oxford,-,1,655,665,0,38,"1,358"
Oxford,-,2,611,643,0,39,"1,293"
Oxford,-,3,604,662,0,43,"1,309"
Oxford,-,4,538,645,0,39,"1,222"
Oxford,-,4A,4,16,0,0,20
Palmer,-,1,601,595,1,34,"1,231"
Palmer,-,2,557,638,3,38,"1,236"
Palmer,-,3,518,377,0,34,929
Palmer,-,4,456,555,0,33,"1,044"
Peru,,,210,149,0,5,364
Pittsfield,1,A,508,153,0,21,682
Pittsfield,1,B,803,280,2,30,"1,115"
Pittsfield,2,A,338,101,1,8,448
Pittsfield,2,B,799,243,1,37,"1,080"
Pittsfield,3,A,928,232,2,42,"1,204"
Pittsfield,3,B,990,274,0,47,"1,311"
Pittsfield,4,A,960,264,1,30,"1,255"
Pittsfield,4,B,"1,144",362,1,48,"1,555"
Pittsfield,5,A,778,193,3,35,"1,009"
Pittsfield,5,B,824,266,0,29,"1,119"
Pittsfield,6,A,824,195,1,34,"1,054"
Pittsfield,6,B,569,165,1,17,752
Pittsfield,7,A,418,173,0,18,609
Pittsfield,7,B,759,243,1,38,"1,041"
Plainfield,,,256,99,0,13,368
Richmond,,,648,157,1,18,824
Rowe,,,119,87,0,7,213
Russell,,,282,345,0,12,639
Sandisfield,,,220,130,0,8,358
Savoy,,,145,126,0,34,305
Sheffield,,,"1,081",393,1,59,"1,534"
"S. Hadley",-,A,921,410,5,26,"1,362"
"S. Hadley",-,B,"1,167",464,7,39,"1,677"
"S. Hadley",-,C,"1,049",596,4,43,"1,692"
"S. Hadley",-,D,695,260,2,21,978
"S. Hadley",-,E,"1,081",575,2,49,"1,707"
Southampton,-,1,872,667,3,37,"1,579"
Southampton,-,2,822,675,32,41,"1,570"
Southbridge,-,1,468,303,1,31,803
Southbridge,-,2,335,238,0,17,590
Southbridge,-,3,474,433,1,34,942
Southbridge,-,4,758,570,0,47,"1,375"
Southbridge,-,5,355,190,0,25,570
Southwick,-,1,622,950,1,25,"1,598"
Southwick,-,2,488,680,1,15,"1,184"
Southwick,-,3,602,801,0,28,"1,431"
Spencer,-,1,504,539,0,39,"1,082"
Spencer,-,2,449,481,0,20,950
Spencer,-,3,486,670,1,44,"1,201"
Spencer,-,4,608,592,3,32,"1,235"
Springfield,1,A,209,36,1,19,265
Springfield,1,B,231,50,0,13,294
Springfield,1,C,143,22,0,7,172
Springfield,1,C1,16,5,0,0,21
Springfield,1,D,162,27,0,3,192
Springfield,1,D1,44,7,0,3,54
Springfield,1,E,166,31,0,8,205
Springfield,1,F,227,38,0,11,276
Springfield,1,G,179,36,0,6,221
Springfield,1,H,347,45,2,10,404
Springfield,2,A,218,72,0,9,299
Springfield,2,B,440,143,1,24,608
Springfield,2,C,239,64,0,5,308
Springfield,2,D,366,120,0,15,501
Springfield,2,E,358,142,1,9,510
Springfield,2,F,354,120,1,5,480
Springfield,2,G,396,181,0,24,601
Springfield,2,H,421,170,0,10,601
Springfield,3,A,197,35,0,6,238
Springfield,3,B,195,21,0,9,225
Springfield,3,C,155,43,1,6,205
Springfield,3,D,194,34,0,3,231
Springfield,3,E,109,26,1,5,141
Springfield,3,F,157,46,0,9,212
Springfield,3,G,129,29,0,7,165
Springfield,3,H,166,52,1,6,225
Springfield,4,A,451,60,2,9,522
Springfield,4,B,248,21,0,6,275
Springfield,4,C,204,17,0,3,224
Springfield,4,D,208,27,0,5,240
Springfield,4,E,217,18,1,5,241
Springfield,4,F,87,10,0,2,99
Springfield,4,G,315,35,0,12,362
Springfield,4,H,308,21,1,10,340
Springfield,5,A,369,57,0,9,435
Springfield,5,B,425,118,0,10,553
Springfield,5,C,307,142,1,9,459
Springfield,5,C1,7,3,0,1,11
Springfield,5,D,539,300,0,13,852
Springfield,5,E,509,96,3,6,614
Springfield,5,F,528,154,2,24,708
Springfield,5,G,557,303,3,11,874
Springfield,5,H,418,204,0,16,638
Springfield,6,A,279,74,3,6,362
Springfield,6,B,482,127,0,25,634
Springfield,6,C,330,146,3,14,493
Springfield,6,D,550,246,4,24,824
Springfield,6,D1,23,10,0,1,34
Springfield,6,E,212,51,0,10,273
Springfield,6,F,251,59,1,14,325
Springfield,6,G,357,120,0,17,494
Springfield,6,H,428,205,0,6,639
Springfield,7,A,479,217,1,19,716
Springfield,7,A1,23,2,0,0,25
Springfield,7,B,685,258,2,15,960
Springfield,7,B1,4,2,0,0,6
Springfield,7,C,585,282,5,25,897
Springfield,7,D,440,245,1,17,703
Springfield,7,E,286,99,0,13,398
Springfield,7,F,646,274,0,29,949
Springfield,7,G,621,335,2,19,977
Springfield,7,H,257,116,0,6,379
Springfield,7,H1,44,26,0,3,73
Springfield,8,A,337,189,1,12,539
Springfield,8,B,360,118,0,5,483
Springfield,8,B1,26,19,0,1,46
Springfield,8,C,366,105,0,18,489
Springfield,8,D,198,64,1,2,265
Springfield,8,E,197,75,2,6,280
Springfield,8,F,315,130,2,5,452
Springfield,8,G,331,150,1,14,496
Springfield,8,G1,6,7,0,1,14
Springfield,8,H,348,110,1,10,469
Stockbridge,,,847,191,1,30,"1,069"
Sturbridge,-,1,803,591,3,34,"1,431"
