City/Town,Ward,Pct,"Jake Auchincloss","All Others",Blanks,"Total Votes Cast"
,,,Democratic
Attleboro,1,A,814,14,404,"1,232"
Attleboro,1,B,870,3,399,"1,272"
Attleboro,2,A,982,26,460,"1,468"
Attleboro,2,B,890,10,391,"1,291"
Attleboro,3,A,918,14,379,"1,311"
Attleboro,3,B,"1,032",12,414,"1,458"
Attleboro,4,A,816,29,313,"1,158"
Attleboro,4,B,"1,197",16,589,"1,802"
Attleboro,5,A,595,10,174,779
Attleboro,5,B,967,12,347,"1,326"
Attleboro,6,A,841,26,404,"1,271"
Attleboro,6,B,"1,015",13,417,"1,445"
Bellingham,-,1,810,40,372,"1,222"
Bellingham,-,2,943,52,510,"1,505"
Bellingham,-,3,"1,006",65,447,"1,518"
Bellingham,-,4,817,45,448,"1,310"
Bellingham,-,5,751,45,385,"1,181"
Berkley,-,1,864,66,626,"1,556"
Berkley,-,2,692,77,494,"1,263"
Blackstone,-,1,631,13,338,982
Blackstone,-,2,717,16,396,"1,129"
Blackstone,-,3,733,29,494,"1,256"
Brookline,-,1,940,25,165,"1,130"
Brookline,-,2,569,12,121,702
Brookline,-,3,"1,049",25,200,"1,274"
Brookline,-,4,802,18,172,992
Brookline,-,5,532,5,113,650
Brookline,-,5A,563,18,107,688
Brookline,-,6,"1,197",26,219,"1,442"
Brookline,-,7,993,19,190,"1,202"
Brookline,-,8,"1,094",14,165,"1,273"
Brookline,-,9,"1,138",6,200,"1,344"
Brookline,-,10,"1,119",19,187,"1,325"
Brookline,-,11,"1,162",12,213,"1,387"
Brookline,-,12,"1,246",27,215,"1,488"
Brookline,-,13,991,15,188,"1,194"
Brookline,-,13A,178,3,32,213
Brookline,-,14,951,24,248,"1,223"
Brookline,-,14A,270,2,54,326
Brookline,-,15,"1,182",15,334,"1,531"
Brookline,-,16,"1,093",16,260,"1,369"
Brookline,-,17,962,24,164,"1,150"
Dighton,-,1,640,32,439,"1,111"
Dighton,-,2,636,41,443,"1,120"
Dighton,-,3,568,41,394,"1,003"
Dover,,,"2,032",90,924,"3,046"
"Fall River",1,A,641,37,346,"1,024"
"Fall River",1,B,445,21,225,691
"Fall River",1,C,466,22,239,727
"Fall River",2,A,311,26,110,447
"Fall River",2,B,278,17,122,417
"Fall River",2,C,332,16,182,530
"Fall River",3,A,484,21,185,690
"Fall River",3,B,439,16,199,654
"Fall River",3,C,517,32,244,793
"Fall River",4,A,352,24,113,489
"Fall River",4,B,273,13,80,366
"Fall River",4,C,384,8,106,498
"Fall River",5,A,231,10,83,324
"Fall River",5,B,216,7,77,300
"Fall River",5,C,278,10,103,391
"Fall River",6,A,516,25,308,849
"Fall River",6,B,391,7,128,526
"Fall River",6,C,400,16,210,626
"Fall River",7,A,563,27,250,840
"Fall River",7,B,347,21,125,493
"Fall River",7,C,466,23,150,639
