City/Town,Ward,Pct,"Katherine M. Clark","Caroline Colarusso","All Others",Blanks,"Total Votes Cast"
,,,Democratic,Republican
Arlington,-,1,616,117,0,26,759
Arlington,-,2,916,171,0,30,"1,117"
Arlington,-,3,918,106,0,26,"1,050"
Arlington,-,4,835,108,1,32,976
Arlington,-,5,940,154,1,31,"1,126"
Arlington,-,6,850,118,0,37,"1,005"
Arlington,-,7,825,149,1,29,"1,004"
Arlington,-,8,980,171,1,41,"1,193"
Arlington,-,9,723,144,0,26,893
Arlington,-,10,"1,035",140,0,26,"1,201"
Arlington,-,11,921,283,3,24,"1,231"
Arlington,-,12,"1,031",199,0,40,"1,270"
Arlington,-,13,826,288,1,33,"1,148"
Arlington,-,14,821,159,1,28,"1,009"
Arlington,-,15,811,172,0,27,"1,010"
Arlington,-,16,921,181,1,28,"1,131"
Arlington,-,17,708,125,2,25,860
Arlington,-,18,809,263,1,46,"1,119"
Arlington,-,19,909,188,0,34,"1,131"
Arlington,-,20,802,170,0,35,"1,007"
Arlington,-,21,942,145,0,24,"1,111"
Bedford,,,218,117,0,5,340
Belmont,-,1,"1,143",317,3,72,"1,535"
Belmont,-,2,"1,202",508,1,67,"1,778"
Belmont,-,3,"1,101",294,0,62,"1,457"
Belmont,-,4,914,288,0,50,"1,252"
Belmont,-,5,"1,100",296,0,41,"1,437"
Belmont,-,6,"1,427",324,0,54,"1,805"
Belmont,-,7,"1,115",297,0,54,"1,466"
Belmont,-,8,967,387,1,78,"1,433"
Cambridge,3,3A,376,26,0,15,417
Cambridge,4,2,"1,041",52,1,42,"1,136"
Cambridge,6,1A,320,14,0,14,348
Cambridge,6,2,690,44,0,24,758
Cambridge,6,3,"1,364",100,1,45,"1,510"
Cambridge,7,1,"1,216",69,0,31,"1,316"
Cambridge,7,2,794,71,0,30,895
Cambridge,7,3,299,28,0,11,338
Cambridge,8,1,"1,080",63,2,37,"1,182"
Cambridge,8,2,"1,118",64,4,23,"1,209"
Cambridge,8,3,278,17,0,8,303
Cambridge,9,1,"1,797",142,2,53,"1,994"
Cambridge,9,2,"1,304",139,1,43,"1,487"
Cambridge,9,3,"1,269",151,1,58,"1,479"
Cambridge,10,1A,602,49,0,18,669
Cambridge,10,2,"1,597",83,1,52,"1,733"
Cambridge,11,3,"1,185",116,0,36,"1,337"
Framingham,-,1,218,64,0,14,296
Framingham,-,2,144,36,1,8,189
Framingham,-,3,228,53,0,10,291
Framingham,-,4,292,97,0,12,401
Framingham,-,5,421,154,0,19,594
Framingham,-,6,690,230,1,25,946
Framingham,-,7,813,253,0,34,"1,100"
Framingham,-,8,444,148,0,16,608
Framingham,-,9A,570,164,0,19,753
Framingham,-,9B,31,12,0,0,43
Framingham,-,10,401,126,0,23,550
Framingham,-,11,497,157,3,29,686
Framingham,-,12,448,116,2,18,584
Framingham,-,13,256,71,0,18,345
Framingham,-,14,357,107,1,16,481
Framingham,-,15,377,125,0,13,515
Framingham,-,16,642,258,2,34,936
Framingham,-,17,764,247,1,32,"1,044"
Framingham,-,18,851,325,1,45,"1,222"
Framingham,-,19,822,341,1,45,"1,209"
Framingham,-,20,888,287,0,58,"1,233"
Framingham,-,21A,651,225,0,33,909
Framingham,-,21B,404,127,0,16,547
Framingham,-,21C,21,11,0,2,34
Framingham,-,22,925,310,2,58,"1,295"
Framingham,-,23,762,317,2,35,"1,116"
Framingham,-,24,823,299,1,50,"1,173"
Framingham,-,25,834,314,0,35,"1,183"
Framingham,-,26,741,264,0,26,"1,031"
Framingham,-,27,763,231,0,31,"1,025"
Lexington,-,1,"1,165",319,0,44,"1,528"
Lexington,-,2,"1,420",290,0,56,"1,766"
Lexington,-,3,"1,116",216,2,34,"1,368"
Lexington,-,4,"1,394",304,1,42,"1,741"
Lexington,-,5,"1,197",376,2,40,"1,615"
Lexington,-,6,"1,325",349,0,60,"1,734"
Lexington,-,7,"1,265",387,0,45,"1,697"
Lexington,-,8,"1,205",340,0,45,"1,590"
Lexington,-,9,"1,327",335,2,58,"1,722"
Lincoln,-,1,"1,720",331,0,57,"2,108"
Lincoln,-,2,954,247,1,45,"1,247"
Malden,1,1,366,78,0,14,458
Malden,1,2,435,138,1,25,599
Malden,1,3,462,149,1,23,635
Malden,2,1,361,105,2,14,482
Malden,2,2,353,177,1,23,554
Malden,2,3,473,194,1,35,703
Malden,3,1,324,114,0,25,463
Malden,3,1A,394,149,0,21,564
Malden,3,2,498,137,3,24,662
Malden,3,3,686,175,0,31,892
Malden,4,1,413,117,0,24,554
Malden,4,2,298,63,0,21,382
Malden,4,3,447,79,0,16,542
Malden,5,1,444,171,0,28,643
Malden,5,2,734,236,3,35,"1,008"
Malden,5,3,278,84,2,9,373
Malden,5,3A,140,18,0,5,163
Malden,6,1,675,219,1,44,939
Malden,6,2,410,161,0,17,588
Malden,6,3,413,198,1,27,639
Malden,7,1,368,94,1,16,479
Malden,7,2,344,122,1,13,480
Malden,7,3,218,85,1,16,320
Malden,7,3A,168,44,0,8,220
Malden,8,1,495,211,0,30,736
Malden,8,2,382,159,2,19,562
Malden,8,3,307,108,0,23,438
Maynard,-,1,968,341,2,36,"1,347"
Maynard,-,2,831,267,0,34,"1,132"
Maynard,-,3,"1,113",402,1,57,"1,573"
Maynard,-,4,800,307,1,22,"1,130"
Medford,1,1,863,355,0,50,"1,268"
Medford,1,2,987,374,0,66,"1,427"
Medford,2,1,821,398,0,48,"1,267"
Medford,2,2,"1,195",579,0,72,"1,846"
Medford,3,1,"1,145",533,0,66,"1,744"
Medford,3,2,"1,310",578,0,67,"1,955"
Medford,4,1,531,117,0,18,666
Medford,4,2,"1,140",295,0,63,"1,498"
Medford,5,1,994,252,0,37,"1,283"
Medford,5,2,975,193,0,31,"1,199"
Medford,6,1,"1,401",252,0,67,"1,720"
Medford,6,2,"1,164",353,0,62,"1,579"
Medford,6,2A,48,31,0,2,81
Medford,7,1,529,165,0,22,716
Medford,7,2,643,164,0,29,836
Medford,7,2A,71,30,0,1,102
Medford,8,1,"1,109",349,0,57,"1,515"
Medford,8,2,889,302,0,49,"1,240"
Melrose,1,1,828,271,1,29,"1,129"
Melrose,1,2,663,226,2,19,910
Melrose,2,1,721,359,1,26,"1,107"
Melrose,2,2,688,260,2,25,975
Melrose,3,1,680,208,1,19,908
Melrose,3,2,679,288,0,20,987
Melrose,4,1,639,222,0,20,881
Melrose,4,2,671,416,2,27,"1,116"
Melrose,5,1,483,158,0,14,655
Melrose,5,2,506,136,1,11,654
Melrose,6,1,642,226,1,23,892
Melrose,6,2,766,344,0,31,"1,141"
Melrose,7,1,706,264,2,26,998
Melrose,7,2,725,339,0,20,"1,084"
Natick,-,1,672,216,0,21,909
Natick,-,2,"1,131",407,0,66,"1,604"
Natick,-,3,"1,107",428,0,56,"1,591"
Natick,-,4,"1,105",362,1,42,"1,510"
Natick,-,5,"1,143",470,0,52,"1,665"
Natick,-,6,"1,092",418,0,57,"1,567"
Natick,-,7,"1,443",424,1,46,"1,914"
Natick,-,8,"1,271",426,0,58,"1,755"
Natick,-,9,"1,331",374,2,62,"1,769"
Natick,-,10,"1,495",525,3,86,"2,109"
Revere,1,1,500,228,1,32,761
Revere,1,2,453,227,1,35,716
Revere,1,3,366,145,1,36,548
Revere,2,1,308,129,1,13,451
Revere,2,2,390,126,0,27,543
Revere,2,3,108,31,0,8,147
Revere,2,3A,26,7,0,1,34
Revere,3,1,290,212,0,25,527
Revere,3,2,304,208,1,21,534
Revere,3,3,330,206,1,32,569
Revere,4,1,380,298,0,30,708
Revere,4,2,289,216,1,28,534
Revere,4,3,401,267,1,33,702
Revere,5,1,640,400,0,55,"1,095"
Revere,5,2,440,217,2,28,687
