City/Town,Ward,Pct,"Ayanna S. Pressley","Donnie Dionicio Palmer, Jr","All Others",Blanks,"Total Votes Cast"
,,,Democratic,Republican
Boston,1,1,542,153,2,42,739
Boston,1,2,371,95,2,26,494
Boston,1,3,"1,092",217,6,83,"1,398"
Boston,1,4,391,73,1,41,506
Boston,1,5,456,117,2,42,617
Boston,1,6,369,97,2,22,490
Boston,1,7,410,89,2,29,530
Boston,1,8,470,107,1,59,637
Boston,1,9,368,88,1,26,483
Boston,1,10,207,70,2,17,296
Boston,1,11,472,196,2,39,709
Boston,1,12,382,250,4,44,680
Boston,1,13,513,255,2,68,838
Boston,1,14,245,135,1,29,410
Boston,2,1,686,299,7,117,"1,109"
Boston,2,2,675,278,2,82,"1,037"
Boston,2,3,808,322,8,94,"1,232"
Boston,2,4,719,244,10,103,"1,076"
Boston,2,5,763,269,9,89,"1,130"
Boston,2,6,623,237,5,86,951
Boston,2,7,442,141,1,43,627
Boston,2,8,318,93,2,51,464
Boston,3,7,734,105,2,65,906
Boston,3,8,498,113,4,41,656
Boston,3,14,535,110,5,133,783
Boston,3,15,515,78,2,42,637
Boston,3,16,916,126,7,76,"1,125"
Boston,4,1,674,117,2,68,861
Boston,4,2,506,149,4,54,713
Boston,4,3,803,138,4,64,"1,009"
Boston,4,4,853,151,3,72,"1,079"
Boston,4,5,656,128,2,60,846
Boston,4,6,486,145,0,55,686
Boston,4,7,435,68,3,35,541
Boston,4,8,390,80,3,41,514
Boston,4,9,107,12,0,7,126
Boston,4,10,117,10,0,7,134
Boston,4,10A,0,0,0,0,0
Boston,4,11,31,4,0,0,35
Boston,4,12,140,11,2,9,162
Boston,5,1,367,59,3,52,481
Boston,5,2,511,63,2,32,608
Boston,5,9,707,216,2,65,990
Boston,5,10,341,74,0,21,436
Boston,5,12,373,42,3,20,438
Boston,5,13,577,174,6,90,847
Boston,5,14,609,117,5,51,782
Boston,5,15,405,105,2,32,544
Boston,6,12A,0,0,0,0,0
Boston,8,1,642,99,5,73,819
Boston,8,2,573,90,2,51,716
Boston,8,3,437,20,1,39,497
Boston,8,4,326,27,2,22,377
Boston,8,5,475,45,0,41,561
Boston,8,6,118,19,0,9,146
Boston,9,1,682,90,6,61,839
Boston,9,2,658,72,7,51,788
Boston,9,3,474,46,4,32,556
Boston,9,4,448,39,0,41,528
Boston,9,5,539,27,4,41,611
Boston,9,6,589,48,0,47,684
Boston,9,7,136,14,1,5,156
Boston,10,1,317,46,1,29,393
Boston,10,2,230,34,0,15,279
Boston,10,3,238,27,2,19,286
Boston,10,4,501,70,2,40,613
Boston,10,5,361,54,3,23,441
Boston,10,6,396,48,0,26,470
Boston,10,7,477,34,1,27,539
Boston,10,8,784,91,2,50,927
Boston,10,9,968,73,5,49,"1,095"
Boston,11,1,355,21,2,18,396
Boston,11,2,530,25,3,28,586
Boston,11,3,363,21,2,25,411
Boston,11,4,718,60,4,37,819
Boston,11,5,584,52,4,42,682
Boston,11,6,631,34,0,23,688
Boston,11,7,799,52,1,44,896
Boston,11,8,"1,109",66,3,63,"1,241"
Boston,12,1,490,32,3,39,564
Boston,12,2,607,24,1,23,655
Boston,12,3,278,21,0,11,310
Boston,12,4,337,12,0,30,379
Boston,12,5,233,13,0,21,267
Boston,12,6,313,13,0,24,350
Boston,12,7,586,28,1,44,659
Boston,12,8,222,13,0,10,245
Boston,12,9,311,11,1,18,341
Boston,13,1,348,24,1,24,397
Boston,13,2,157,15,1,11,184
Boston,13,4,296,27,0,19,342
Boston,13,5,309,27,0,29,365
Boston,13,6,417,59,3,35,514
Boston,14,1,545,40,0,31,616
Boston,14,2,617,31,0,31,679
Boston,14,3,299,15,0,11,325
Boston,14,4,383,22,1,19,425
Boston,14,5,268,8,2,16,294
Boston,14,6,292,14,0,25,331
Boston,14,7,281,15,2,21,319
Boston,14,8,442,12,0,23,477
Boston,14,9,267,24,0,16,307
Boston,14,10,328,26,1,24,379
Boston,14,11,311,22,1,21,355
Boston,14,12,204,7,0,10,221
Boston,14,13,328,18,0,19,365
Boston,14,14,347,10,0,18,375
Boston,15,1,404,29,2,20,455
Boston,15,2,254,15,1,15,285
Boston,15,3,154,11,1,13,179
Boston,15,4,394,72,1,35,502
Boston,15,5,319,22,0,21,362
Boston,15,6,234,92,3,33,362
Boston,15,7,290,26,0,19,335
Boston,15,8,226,75,1,22,324
Boston,15,9,227,77,1,31,336
Boston,16,1,270,78,1,26,375
Boston,16,3,430,82,1,29,542
Boston,16,4,378,103,0,35,516
Boston,16,6,583,141,1,47,772
Boston,17,1,332,21,1,26,380
Boston,17,2,249,31,0,10,290
Boston,17,3,607,44,1,48,700
Boston,17,4,738,111,3,51,903
Boston,17,5,235,12,1,13,261
Boston,17,6,469,46,0,27,542
Boston,17,7,261,10,2,8,281
Boston,17,8,383,20,1,29,433
Boston,17,9,421,32,1,36,490
Boston,17,10,483,24,1,31,539
Boston,17,11,212,13,1,17,243
Boston,17,12,373,30,0,21,424
Boston,17,14,551,102,0,62,715
Boston,18,1,761,44,1,39,845
Boston,18,2,515,22,2,22,561
Boston,18,3,582,24,1,24,631
Boston,18,4,605,25,0,33,663
Boston,18,5,660,38,1,34,733
Boston,18,6,837,38,1,42,918
Boston,18,7,550,100,2,37,689
Boston,18,8,952,110,0,58,"1,120"
Boston,18,9,642,115,1,64,822
Boston,18,10,"1,019",165,5,90,"1,279"
Boston,18,11,473,65,1,19,558
Boston,18,12,583,125,1,51,760
Boston,18,13,357,43,1,24,425
Boston,18,14,353,49,1,22,425
Boston,18,15,557,51,0,43,651
Boston,18,16,583,258,5,91,937
Boston,18,17,508,138,3,42,691
Boston,18,18,619,143,5,74,841
Boston,18,19,894,207,0,62,"1,163"
Boston,18,20,646,347,3,81,"1,077"
Boston,18,21,735,33,0,35,803
Boston,18,22,675,256,1,72,"1,004"
Boston,18,23,362,38,1,27,428
Boston,19,7,814,51,3,44,912
Boston,19,10,816,102,2,71,991
Boston,19,11,499,59,1,31,590
Boston,19,12,641,75,1,44,761
Boston,19,13,453,57,0,30,540
Boston,20,3,489,243,1,47,780
Boston,21,1,577,78,2,35,692
Boston,21,2,140,19,0,6,165
Boston,21,3,302,27,0,13,342
Boston,21,4,302,28,2,10,342
Boston,21,5,491,55,4,23,573
Boston,21,6,427,50,2,22,501
Boston,21,7,444,54,4,23,525
Boston,21,8,663,65,0,31,759
Boston,21,9,662,81,3,35,781
Boston,21,10,511,66,1,28,606
Boston,21,11,645,97,2,33,777
Boston,21,12,525,118,0,47,690
Boston,21,13,644,210,2,67,923
Boston,21,14,399,56,0,16,471
Boston,21,15,495,59,2,22,578
Boston,21,16,615,138,1,45,799
Boston,22,1,654,107,8,43,812
Boston,22,2,804,133,7,55,999
Boston,22,3,633,179,2,51,865
Boston,22,4,565,112,3,47,727
Boston,22,5,446,85,2,31,564
