City/Town,Ward,Pct,"Lisa A. Denault-Viale","All Others",Blanks,"Total Votes Cast"
,,,Democratic
Adams,-,1,604,1,160,765
Adams,-,2,766,8,150,924
Adams,-,3,739,2,174,915
Adams,-,4,630,0,172,802
Adams,-,5,802,3,184,989
Alford,-,1,249,0,77,326
Becket,-,1,878,9,360,"1,247"
Cheshire,-,1,"1,392",14,548,"1,954"
Clarksburg,-,1,766,1,213,980
Dalton,-,1,"1,404",20,436,"1,860"
Dalton,-,2,"1,359",14,451,"1,824"
Egremont,-,1,710,1,245,956
Florida,-,1,309,0,107,416
"Great Barrington",-,A,808,2,243,"1,053"
"Great Barrington",-,B,775,5,263,"1,043"
"Great Barrington",-,C,571,2,161,734
"Great Barrington",-,D,820,4,307,"1,131"
Hancock,-,1,350,0,145,495
Hinsdale,-,1,926,2,290,"1,218"
Lanesborough,-,1,"1,402",0,460,"1,862"
Lee,-,1,"2,468",30,760,"3,258"
Lenox,-,1,"2,536",7,754,"3,297"
Monterey,-,1,477,1,126,604
"Mount Washington",-,1,94,0,31,125
"New Ashford",-,1,132,0,32,164
"New Marlborough",-,1,364,7,631,"1,002"
"N. Adams",1,1,"1,006",3,280,"1,289"
"N. Adams",2,2,943,2,205,"1,150"
"N. Adams",3,3,651,2,166,819
"N. Adams",4,4,"1,031",0,279,"1,310"
"N. Adams",5,5,905,1,253,"1,159"
Otis,-,1,681,5,387,"1,073"
Peru,-,1,369,1,158,528
Pittsfield,1,A,877,7,228,"1,112"
Pittsfield,1,B,"1,178",4,368,"1,550"
Pittsfield,2,A,665,3,173,841
Pittsfield,2,B,"1,222",1,382,"1,605"
Pittsfield,3,A,"1,339",8,400,"1,747"
Pittsfield,3,B,"1,433",8,447,"1,888"
Pittsfield,4,A,"1,373",6,417,"1,796"
Pittsfield,4,B,"1,554",4,491,"2,049"
Pittsfield,5,A,"1,093",4,330,"1,427"
Pittsfield,5,B,"1,242",7,407,"1,656"
Pittsfield,6,A,"1,148",2,357,"1,507"
Pittsfield,6,B,818,6,261,"1,085"
Pittsfield,7,A,791,7,244,"1,042"
Pittsfield,7,B,"1,262",5,374,"1,641"
Richmond,-,1,784,10,225,"1,019"
Sandisfield,-,1,350,0,157,507
Savoy,-,1,322,0,115,437
Sheffield,-,1,"1,526",6,507,"2,039"
Stockbridge,-,1,"1,006",3,310,"1,319"
Tyringham,-,1,240,1,85,326
Washington,-,1,263,2,95,360
"W. Stockbridge",-,1,721,6,214,941
Williamstown,-,1,"1,235",8,269,"1,512"
Williamstown,-,2,345,0,94,439
Williamstown,-,3,"1,387",1,303,"1,691"
Windsor,-,1,407,0,154,561
TOTALS,,,"52,498",256,"16,615","69,369"
