City/Town,Ward,Pct,"Benjamin Simanski","All Others",Blanks,"Total Votes Cast"
,,,Democratic
Ashfield,-,1,978,3,235,"1,216"
Bernardston,-,1,"1,044",11,356,"1,411"
Buckland,-,1,902,7,234,"1,143"
Charlemont,-,1,562,0,182,744
Colrain,-,1,802,0,248,"1,050"
Conway,-,1,"1,043",9,258,"1,310"
Deerfield,-,1,"2,621",11,676,"3,308"
Erving,-,1,755,6,217,978
Gill,-,1,791,6,219,"1,016"
Greenfield,-,1,839,16,271,"1,126"
Greenfield,-,2,"1,047",16,272,"1,335"
Greenfield,-,3,895,9,292,"1,196"
Greenfield,-,4,942,14,196,"1,152"
Greenfield,-,5,938,4,245,"1,187"
Greenfield,-,6,870,8,174,"1,052"
Greenfield,-,7,719,12,186,917
Greenfield,-,8,709,26,186,921
Greenfield,-,9,539,9,144,692
Hawley,-,1,140,0,56,196
Heath,-,1,367,1,104,472
Leverett,-,1,"1,082",1,227,"1,310"
Leyden,-,1,378,0,118,496
Monroe,-,1,54,0,12,66
Montague,-,1,850,7,178,"1,035"
Montague,-,2,630,18,191,839
Montague,-,3,660,9,185,854
Montague,-,4,642,8,146,796
Montague,-,5,490,10,111,611
Montague,-,6,561,7,139,707
"New Salem",-,1,521,3,190,714
Northfield,-,1,"1,420",9,525,"1,954"
Orange,-,1,"1,400",42,517,"1,959"
Orange,-,2,"1,469",32,484,"1,985"
Rowe,-,1,182,0,83,265
Shelburne,-,1,976,8,252,"1,236"
Shutesbury,-,1,"1,025",1,238,"1,264"
Sunderland,-,1,"1,523",5,367,"1,895"
Warwick,-,1,384,0,127,511
Wendell,-,1,461,1,143,605
Whately,-,1,864,2,228,"1,094"
TOTALS,,,"33,075",331,"9,212","42,618"
