City/Town,Ward,Pct,"Walter F. Timilty, Jr.","All Others",Blanks,"Total Votes Cast"
,,,Democratic
Avon,-,1,"1,941",12,630,"2,583"
Bellingham,-,1,"1,253",46,548,"1,847"
Bellingham,-,2,"1,423",47,650,"2,120"
Bellingham,-,3,"1,531",61,646,"2,238"
Bellingham,-,4,"1,305",45,548,"1,898"
Bellingham,-,5,"1,338",49,596,"1,983"
Braintree,-,1A,"1,270",33,553,"1,856"
Braintree,-,1B,"1,090",26,546,"1,662"
Braintree,-,2A,"1,315",22,454,"1,791"
Braintree,-,2B,"1,156",35,521,"1,712"
Braintree,-,3A,"1,035",26,417,"1,478"
Braintree,-,3B,"1,103",33,459,"1,595"
Braintree,-,4A,"1,139",24,436,"1,599"
Braintree,-,4B,"1,091",19,381,"1,491"
Braintree,-,5A,"1,161",25,502,"1,688"
Braintree,-,5B,"1,243",20,531,"1,794"
Braintree,-,6A,"1,336",20,657,"2,013"
Braintree,-,6B,"1,361",15,528,"1,904"
Brookline,-,1,"1,124",10,334,"1,468"
Brookline,-,2,791,9,211,"1,011"
Brookline,-,3,"1,264",12,401,"1,677"
Brookline,-,4,"1,047",25,311,"1,383"
Brookline,-,5,650,6,223,879
Brookline,-,5A,601,6,237,844
Brookline,-,6,"1,364",9,410,"1,783"
Brookline,-,7,"1,189",9,378,"1,576"
Brookline,-,8,"1,296",12,349,"1,657"
Brookline,-,9,"1,334",14,387,"1,735"
Brookline,-,10,"1,337",15,375,"1,727"
Brookline,-,11,"1,391",17,419,"1,827"
Brookline,-,12,"1,396",17,479,"1,892"
Brookline,-,13,"1,193",9,388,"1,590"
Brookline,-,13A,227,3,57,287
Brookline,-,14,"1,086",16,494,"1,596"
Brookline,-,14A,277,4,137,418
Brookline,-,15,"1,347",17,564,"1,928"
Brookline,-,16,"1,279",16,513,"1,808"
Brookline,-,17,"1,161",6,333,"1,500"
Canton,-,1,"1,413",10,439,"1,862"
Canton,-,2,"1,782",15,567,"2,364"
Canton,-,3,"1,220",4,430,"1,654"
Canton,-,4,"1,510",6,567,"2,083"
Canton,-,5,"1,554",8,567,"2,129"
Canton,-,6,"1,464",6,496,"1,966"
Canton,-,7,"1,612",11,517,"2,140"
Cohasset,-,1,"1,229",14,506,"1,749"
Cohasset,-,2,"1,326",8,531,"1,865"
Cohasset,-,3,"1,296",3,518,"1,817"
Dedham,-,1,"1,408",14,695,"2,117"
Dedham,-,2,"1,617",16,686,"2,319"
Dedham,-,3,"1,354",19,478,"1,851"
Dedham,-,4,"1,399",13,649,"2,061"
Dedham,-,5,"1,540",18,711,"2,269"
Dedham,-,6,"1,446",25,684,"2,155"
Dedham,-,7,"1,553",21,833,"2,407"
Dover,-,1,"2,540",55,"1,199","3,794"
Foxborough,-,1,"1,338",9,572,"1,919"
