City/Town,Ward,Pct,"Joseph C. Ferreira","Krysten Condon","All Others",Blanks,"Total Votes Cast"
,,,Democratic,Unenrolled
Acushnet,-,1,829,883,4,214,"1,930"
Acushnet,-,2,758,912,5,243,"1,918"
Acushnet,-,2A,87,111,1,34,233
Acushnet,-,3,930,"1,000",1,259,"2,190"
Aquinnah,-,1,255,54,0,42,351
Barnstable,-,1,"1,355",983,3,295,"2,636"
Barnstable,-,2,"1,157","1,026",8,219,"2,410"
Barnstable,-,3,898,716,9,193,"1,816"
Barnstable,-,4,"1,060",896,4,229,"2,189"
Barnstable,-,5,"1,140","1,238",6,313,"2,697"
Barnstable,-,6,"1,168","1,053",5,232,"2,458"
Barnstable,-,7,"1,304","1,112",6,278,"2,700"
Barnstable,-,8,816,595,15,145,"1,571"
Barnstable,-,9,452,334,2,85,873
Barnstable,-,10,957,994,4,224,"2,179"
Barnstable,-,11,"1,143","1,065",6,270,"2,484"
Barnstable,-,12,"1,093","1,123",5,233,"2,454"
Barnstable,-,13,751,616,8,155,"1,530"
Berkley,-,1,990,898,11,368,"2,267"
Berkley,-,2,828,822,11,335,"1,996"
Bourne,-,1,735,"1,010",9,231,"1,985"
Bourne,-,2,820,917,1,224,"1,962"
Bourne,-,3,427,504,4,112,"1,047"
Bourne,-,4,980,896,5,239,"2,120"
Bourne,-,5,821,696,4,193,"1,714"
Bourne,-,5A,147,154,0,49,350
Bourne,-,6,723,570,4,167,"1,464"
Bourne,-,7,763,669,0,198,"1,630"
Brewster,-,1,"1,442",921,1,266,"2,630"
Brewster,-,2,"1,354",756,2,227,"2,339"
Brewster,-,3,"1,301",833,4,242,"2,380"
Carver,-,1,886,"1,209",15,272,"2,382"
Carver,-,2,859,"1,132",11,289,"2,291"
Carver,-,3,974,"1,230",2,305,"2,511"
Chatham,-,1,"1,240",947,3,292,"2,482"
Chatham,-,2,"1,200",904,4,311,"2,419"
Chilmark,-,1,684,177,0,84,945
Dartmouth,-,1,"1,095",998,4,338,"2,435"
Dartmouth,-,2,813,650,1,204,"1,668"
Dartmouth,-,3,172,105,0,37,314
Dartmouth,-,4,"1,057",852,2,251,"2,162"
Dartmouth,-,5,"1,081",775,3,306,"2,165"
Dartmouth,-,6,999,748,1,251,"1,999"
Dartmouth,-,7,"1,182",836,3,341,"2,362"
Dartmouth,-,8,"1,402",858,4,386,"2,650"
Dartmouth,-,9,"1,404",982,1,407,"2,794"
Dennis,-,1,"1,106",938,2,283,"2,329"
Dennis,-,2,"1,196",890,4,290,"2,380"
Dennis,-,3,794,607,3,169,"1,573"
Dennis,-,4,"1,067",870,2,238,"2,177"
Dennis,-,5,943,723,5,186,"1,857"
Dighton,-,1,739,631,0,282,"1,652"
Dighton,-,2,728,652,0,267,"1,647"
Dighton,-,3,742,552,0,282,"1,576"
Eastham,-,1,"2,480","1,293",5,386,"4,164"
Edgartown,-,1,"1,696",823,1,416,"2,936"
Fairhaven,-,1,827,566,4,217,"1,614"
Fairhaven,-,2,817,592,3,162,"1,574"
Fairhaven,-,3,678,528,4,170,"1,380"
Fairhaven,-,4,783,684,1,212,"1,680"
Fairhaven,-,5,744,700,2,256,"1,702"
Fairhaven,-,6,730,721,1,226,"1,678"
"Fall River",1,A,877,514,12,258,"1,661"
"Fall River",1,B,596,325,31,175,"1,127"
"Fall River",1,C,655,383,7,194,"1,239"
"Fall River",2,A,467,268,5,149,889
"Fall River",2,B,438,247,6,125,816
"Fall River",2,C,528,286,2,165,981
"Fall River",3,A,604,341,1,203,"1,149"
"Fall River",3,B,584,340,7,161,"1,092"
"Fall River",3,C,774,413,8,196,"1,391"
"Fall River",4,A,474,219,7,99,799
"Fall River",4,B,398,210,2,102,712
"Fall River",4,C,509,211,11,141,872
"Fall River",5,A,375,194,5,92,666
"Fall River",5,B,342,149,4,81,576
"Fall River",5,C,439,211,9,126,785
"Fall River",6,A,710,414,8,214,"1,346"
"Fall River",6,B,662,285,6,157,"1,110"
"Fall River",6,C,590,349,0,166,"1,105"
"Fall River",7,A,723,396,9,170,"1,298"
"Fall River",7,B,509,251,7,117,884
"Fall River",7,C,515,293,4,226,"1,038"
"Fall River",8,A,561,297,8,171,"1,037"
"Fall River",8,B,818,440,10,254,"1,522"
"Fall River",8,C,909,447,7,267,"1,630"
"Fall River",9,A,"1,093",567,7,347,"2,014"
"Fall River",9,B,778,432,10,260,"1,480"
"Fall River",9,C,855,495,9,228,"1,587"
Falmouth,-,1,"1,647",601,1,328,"2,577"
Falmouth,-,2,"1,310",750,8,300,"2,368"
Falmouth,-,3,"1,298",833,3,261,"2,395"
Falmouth,-,4,"1,278",964,3,303,"2,548"
Falmouth,-,5,"1,426",974,6,323,"2,729"
Falmouth,-,6,"1,433",874,5,318,"2,630"
Falmouth,-,7,"1,180",967,5,264,"2,416"
Falmouth,-,8,"1,241",926,5,276,"2,448"
Falmouth,-,9,"1,087",804,4,246,"2,141"
Freetown,-,1,821,731,3,279,"1,834"
Freetown,-,2,799,786,1,308,"1,894"
Freetown,-,3,727,812,3,317,"1,859"
Gosnold,-,1,31,26,0,13,70
Harwich,-,1,"1,325",980,2,293,"2,600"
Harwich,-,2,"1,229",882,3,214,"2,328"
Harwich,-,3,"1,151",942,2,212,"2,307"
Harwich,-,4,"1,089",852,2,187,"2,130"
Kingston,-,1,"1,019",910,5,229,"2,163"
Kingston,-,2,"1,062",991,6,254,"2,313"
Kingston,-,3,996,"1,042",7,215,"2,260"
Kingston,-,4,934,846,4,240,"2,024"
Lakeville,-,1,958,"1,213",9,365,"2,545"
Lakeville,-,2,"1,034","1,308",4,452,"2,798"
Lakeville,-,3,953,"1,167",1,391,"2,512"
Marion,-,1,"1,846","1,387",4,443,"3,680"
Mashpee,-,1,"1,075",764,2,217,"2,058"
Mashpee,-,2,889,772,1,205,"1,867"
Mashpee,-,3,884,832,1,177,"1,894"
Mashpee,-,4,"1,026",694,0,202,"1,922"
Mashpee,-,5,"1,303","1,140",0,314,"2,757"
Mattapoisett,-,1,"1,164","1,015",5,283,"2,467"
Mattapoisett,-,2,"1,203","1,009",6,276,"2,494"
Middleborough,-,1,"1,071","1,236",2,349,"2,658"
Middleborough,-,2,778,789,1,207,"1,775"
Middleborough,-,3,775,"1,077",2,263,"2,117"
Middleborough,-,4,678,721,2,186,"1,587"
Middleborough,-,5,669,949,0,253,"1,871"
Middleborough,-,5A,137,216,0,61,414
Middleborough,-,6,771,"1,028",1,291,"2,091"
Middleborough,-,7,573,707,1,199,"1,480"
Middleborough,-,7A,167,314,0,63,544
Nantucket,-,1,"4,305","2,092",23,754,"7,174"
"New Bedford",1,A,604,460,4,115,"1,183"
"New Bedford",1,A1,68,35,0,20,123
"New Bedford",1,B,701,515,7,169,"1,392"
"New Bedford",1,B1,55,36,0,13,104
"New Bedford",1,C,468,366,6,110,950
"New Bedford",1,C1,102,68,4,16,190
"New Bedford",1,D,774,634,4,181,"1,593"
"New Bedford",1,E,750,484,6,143,"1,383"
"New Bedford",1,F,716,550,8,153,"1,427"
"New Bedford",2,A,184,86,3,42,315
"New Bedford",2,B,261,178,2,61,502
"New Bedford",2,C,319,208,5,61,593
"New Bedford",2,D,552,336,11,113,"1,012"
"New Bedford",2,E,608,490,4,132,"1,234"
"New Bedford",2,F,487,345,0,76,908
"New Bedford",3,A,362,175,1,46,584
"New Bedford",3,B,380,156,3,77,616
"New Bedford",3,C,268,178,6,49,501
"New Bedford",3,D,434,224,7,110,775
"New Bedford",3,E,590,397,4,111,"1,102"
"New Bedford",3,F,519,281,2,134,936
"New Bedford",3,F1,255,134,5,52,446
"New Bedford",4,A,222,68,1,21,312
"New Bedford",4,A1,217,86,4,32,339
"New Bedford",4,B,565,288,6,98,957
"New Bedford",4,C,603,263,5,105,976
"New Bedford",4,D,471,307,1,95,874
"New Bedford",4,E,504,256,5,96,861
"New Bedford",4,F,617,288,3,107,"1,015"
