City/Town,Ward,Pct,"Patsy Harris","All Others",Blanks,"Total Votes Cast"
,,,Democratic
Becket,-,1,863,8,376,"1,247"
Dalton,-,1,"1,357",21,482,"1,860"
Dalton,-,2,"1,374",15,435,"1,824"
Hinsdale,-,1,943,2,273,"1,218"
Lee,-,1,"2,468",33,757,"3,258"
Lenox,-,1,"2,554",11,732,"3,297"
Otis,-,1,689,4,380,"1,073"
Peru,-,1,385,1,142,528
Pittsfield,1,A,886,8,218,"1,112"
Pittsfield,1,B,"1,193",4,353,"1,550"
Pittsfield,2,A,657,3,181,841
Pittsfield,2,B,"1,219",2,384,"1,605"
Pittsfield,3,A,"1,338",6,403,"1,747"
Pittsfield,3,B,"1,447",10,431,"1,888"
Pittsfield,4,A,"1,385",1,410,"1,796"
Pittsfield,4,B,"1,549",3,497,"2,049"
Pittsfield,5,A,"1,082",4,341,"1,427"
Pittsfield,5,B,"1,245",6,405,"1,656"
Pittsfield,6,A,"1,178",5,324,"1,507"
Pittsfield,6,B,838,7,240,"1,085"
Pittsfield,7,A,793,6,243,"1,042"
Pittsfield,7,B,"1,257",3,381,"1,641"
Richmond,-,1,797,7,215,"1,019"
Stockbridge,-,1,985,2,332,"1,319"
Tyringham,-,1,241,0,85,326
Washington,-,1,269,0,91,360
TOTALS,,,"28,992",172,"9,111","38,275"
