City/Town,Ward,Pct,"Karen M. Cassella","Joseph D. Ready","All Others",Blanks,"Total Votes Cast"
,,,Democratic,Democratic
Billerica,-,1,"1,070",0,26,476,"1,572"
Billerica,-,2,"1,447",0,43,617,"2,107"
Billerica,-,3,"1,351",0,44,700,"2,095"
Billerica,-,4,"1,191",0,34,594,"1,819"
Billerica,-,5,"1,536",0,42,838,"2,416"
Billerica,-,6,"1,203",0,33,546,"1,782"
Billerica,-,7,"1,285",0,42,591,"1,918"
Billerica,-,8,"1,338",0,40,615,"1,993"
Billerica,-,9,"1,437",0,47,714,"2,198"
Billerica,-,10,"1,529",0,65,742,"2,336"
Billerica,-,11,"1,132",0,37,566,"1,735"
Billerica,-,12,"1,273",0,28,609,"1,910"
Carlisle,-,1,"2,548",2,26,885,"3,461"
Chelmsford,-,1,"1,235",2,20,506,"1,763"
Chelmsford,-,2,"1,381",2,6,546,"1,935"
Chelmsford,-,3A,635,3,8,260,906
Chelmsford,-,3B,719,0,3,227,949
Chelmsford,-,4,"1,508",6,18,626,"2,158"
Chelmsford,-,5A,"1,171",6,12,531,"1,720"
Chelmsford,-,5B,352,1,2,177,532
Chelmsford,-,6,"1,425",8,14,518,"1,965"
Chelmsford,-,7,"1,262",6,23,568,"1,859"
Chelmsford,-,8,"1,340",4,10,520,"1,874"
Chelmsford,-,9,"1,474",8,14,659,"2,155"
Chelmsford,-,10,"1,239",4,19,498,"1,760"
Chelmsford,-,11,"1,452",8,13,656,"2,129"
Dracut,-,1,"1,193",0,0,471,"1,664"
Dracut,-,2,"1,240",0,0,473,"1,713"
Dracut,-,3,"1,299",0,0,591,"1,890"
Dracut,-,4,"1,514",0,0,880,"2,394"
Dracut,-,5,"1,358",0,0,638,"1,996"
Dracut,-,6,"1,224",0,0,507,"1,731"
Dracut,-,6A,57,0,0,25,82
Dracut,-,7,"1,236",0,0,553,"1,789"
Dracut,-,8,"1,606",0,0,795,"2,401"
Dracut,-,9,"1,406",0,0,556,"1,962"
Dunstable,-,1,"1,471",9,27,724,"2,231"
Lowell,1,1,739,0,38,216,993
Lowell,1,1A,0,0,0,0,0
Lowell,1,2,991,0,47,304,"1,342"
Lowell,1,3,"1,575",0,51,504,"2,130"
Lowell,1,4,734,0,31,248,"1,013"
Lowell,2,1,708,0,38,206,952
Lowell,2,2,742,0,26,204,972
Lowell,2,3,937,0,42,245,"1,224"
Lowell,2,4,862,0,39,245,"1,146"
Lowell,3,1,743,0,31,221,995
Lowell,3,2,"1,850",0,36,366,"2,252"
Lowell,3,3,"1,393",0,44,343,"1,780"
Lowell,3,4,919,0,44,245,"1,208"
Lowell,4,1,550,0,26,163,739
Lowell,4,2,"1,038",0,40,312,"1,390"
Lowell,4,3,293,0,15,68,376
Lowell,4,3A,192,0,9,34,235
Lowell,4,4,609,0,27,188,824
Lowell,4,4A,6,0,1,0,7
Lowell,5,1,802,0,35,246,"1,083"
Lowell,5,1A,198,0,7,46,251
Lowell,5,2,734,0,38,226,998
Lowell,5,3,546,0,28,150,724
Lowell,5,4,933,0,49,284,"1,266"
Lowell,6,1,743,0,27,255,"1,025"
Lowell,6,2,447,0,28,232,707
Lowell,6,3,360,0,13,149,522
Lowell,6,3A,86,0,0,55,141
Lowell,6,4,485,0,19,165,669
Lowell,6,4A,198,0,10,72,280
Lowell,7,1,534,0,24,204,762
Lowell,7,2,555,0,39,219,813
Lowell,7,3,628,0,23,225,876
Lowell,7,4,414,0,22,159,595
Lowell,8,1,790,0,32,242,"1,064"
Lowell,8,2,744,0,34,217,995
Lowell,8,3,"1,228",0,23,438,"1,689"
Lowell,8,4,925,0,30,353,"1,308"
Lowell,8,4A,40,0,0,6,46
Tewksbury,-,1,"1,360",0,52,632,"2,044"
Tewksbury,-,2,"1,716",0,48,694,"2,458"
Tewksbury,-,3,"1,570",0,55,692,"2,317"
Tewksbury,-,4,"1,519",0,38,657,"2,214"
Tewksbury,-,5,"1,447",0,48,636,"2,131"
Tewksbury,-,5A,264,0,11,68,343
Tewksbury,-,6,"1,517",0,60,726,"2,303"
Tewksbury,-,7,"1,747",0,43,801,"2,591"
Tewksbury,-,8,"1,654",0,52,654,"2,360"
Tyngsborough,-,1,"1,260",0,0,626,"1,886"
Tyngsborough,-,2,"1,237",0,0,601,"1,838"
Tyngsborough,-,3,"1,187",0,0,561,"1,748"
Tyngsborough,-,4,"1,406",0,0,714,"2,120"
Westford,-,1,"1,372",0,37,519,"1,928"
Westford,-,2,"1,478",39,492,0,"2,009"
Westford,-,3,"1,705",0,32,569,"2,306"
Westford,-,4,"1,509",0,31,481,"2,021"
Westford,-,5,"1,527",0,34,518,"2,079"
Westford,-,6,"1,659",0,34,577,"2,270"
Westford,-,7,"1,795",0,23,506,"2,324"
Wilmington,-,1,"1,690",0,14,733,"2,437"
Wilmington,-,2,"1,597",0,16,783,"2,396"
Wilmington,-,3,"1,533",0,21,760,"2,314"
Wilmington,-,4,"1,686",0,18,785,"2,489"
Wilmington,-,5,"1,573",0,9,683,"2,265"
Wilmington,-,6,"1,605",0,20,874,"2,499"
TOTALS,,,"112,021",108,"2,950","44,903","159,982"
