City/Town,Ward,Pct,"Mark David Sylvia","Joseph M. Pires","All Others",Blanks,"Total Votes Cast"
,,,Democratic,Republican
Acushnet,-,1,774,"1,041",6,109,"1,930"
Acushnet,-,2A,90,122,1,20,233
Fairhaven,-,1,"1,014",536,1,63,"1,614"
Fairhaven,-,2,952,571,1,50,"1,574"
Fairhaven,-,3,721,599,0,60,"1,380"
Fairhaven,-,4,912,688,1,79,"1,680"
Fairhaven,-,5,863,746,2,91,"1,702"
Fairhaven,-,6,828,773,0,77,"1,678"
Marion,-,1,"2,059","1,422",0,199,"3,680"
Mattapoisett,-,1,"1,315","1,066",1,85,"2,467"
Mattapoisett,-,2,"1,336","1,065",1,92,"2,494"
"New Bedford",1,A,559,555,1,68,"1,183"
"New Bedford",1,B,646,653,3,90,"1,392"
"New Bedford",1,C1,92,85,2,11,190
Rochester,-,1,"1,502","2,373",3,155,"4,033"
TOTALS,,,"13,663","12,295",23,"1,249","27,230"
