City/Town,Ward,Pct,"Carlos Gonzalez","All Others",Blanks,"Total Votes Cast"
,,,Democratic
Springfield,1,A,392,15,118,525
Springfield,1,B,508,12,93,613
Springfield,1,C,323,20,56,399
Springfield,1,D1,81,1,9,91
Springfield,1,E,458,11,80,549
Springfield,1,F,436,12,97,545
Springfield,1,G,338,7,61,406
Springfield,1,H,681,18,113,812
Springfield,3,B,385,10,75,470
Springfield,3,C,351,7,71,429
Springfield,3,D,480,14,79,573
Springfield,3,E,270,8,46,324
Springfield,3,F,392,10,73,475
Springfield,3,G,320,8,61,389
Springfield,3,H,419,13,82,514
Springfield,6,A,501,25,103,629
Springfield,6,B,754,14,173,941
Springfield,6,E,504,15,104,623
Springfield,6,F,594,16,99,709
Springfield,7,A1,45,0,11,56
TOTALS,,,"8,232",236,"1,604","10,072"
