City/Town,Ward,Pct,"Amy Mah Sangiolo","Vladislav S. Yanovsky","All Others",Blanks,"Total Votes Cast"
,,,Democratic,Republican
Newton,1,2,"1,141",215,5,87,"1,448"
Newton,1,3,"1,160",213,6,99,"1,478"
Newton,2,1,"1,123",246,4,100,"1,473"
Newton,2,2,835,185,3,98,"1,121"
Newton,2,3,"1,295",238,10,149,"1,692"
Newton,2,4,"1,296",366,2,163,"1,827"
Newton,3,1,"1,197",251,3,142,"1,593"
Newton,3,2,"1,190",259,2,147,"1,598"
Newton,3,3,"1,194",341,3,107,"1,645"
Newton,4,1,"1,154",255,3,102,"1,514"
Newton,4,2,"1,124",164,0,97,"1,385"
Newton,4,3,826,190,0,96,"1,112"
Newton,4,4,"1,087",260,3,121,"1,471"
Newton,7,2,"1,208",371,1,148,"1,728"
Newton,7,3,346,99,2,45,492
Newton,7,4,543,200,0,83,826
TOTALS,,,"16,719","3,853",47,"1,784","22,403"
