City/Town,Ward,Pct,"Adam J. Scanlon","David Cannata, Jr","All Others",Blanks,"Total Votes Cast"
,,,Democratic,Republican
Attleboro,3,B,"1,123",809,0,129,"2,061"
Mansfield,-,1,"1,032",913,0,220,"2,165"
Mansfield,-,2A,335,215,0,54,604
Mansfield,-,5,974,637,1,137,"1,749"
"N. Attleborough",-,1,866,562,0,69,"1,497"
"N. Attleborough",-,2,"1,086",772,0,91,"1,949"
"N. Attleborough",-,3,953,992,2,97,"2,044"
"N. Attleborough",-,4,969,646,0,86,"1,701"
"N. Attleborough",-,5,928,766,0,100,"1,794"
"N. Attleborough",-,6,"1,074",862,0,93,"2,029"
"N. Attleborough",-,7,"1,150",989,1,97,"2,237"
"N. Attleborough",-,8,"1,020",851,0,90,"1,961"
"N. Attleborough",-,9,968,809,0,87,"1,864"
TOTALS,,,"12,478","9,823",4,"1,350","23,655"
