City/Town,Ward,Pct,"Rob Consalvo","All Others",Blanks,"Total Votes Cast"
,,,Democratic
Boston,18,9,911,17,205,"1,133"
Boston,18,10,"1,314",19,300,"1,633"
Boston,18,11,688,23,138,849
Boston,18,12,927,16,180,"1,123"
Boston,18,13,559,10,84,653
Boston,18,14,531,6,123,660
Boston,18,15,861,8,144,"1,013"
Boston,18,16,"1,014",22,191,"1,227"
Boston,18,17,923,27,150,"1,100"
Boston,18,18,"1,088",18,219,"1,325"
Boston,18,19,"1,500",24,277,"1,801"
Boston,18,20,"1,247",29,230,"1,506"
Boston,18,22,"1,101",19,243,"1,363"
Boston,18,23,658,18,145,821
Boston,19,10,"1,078",27,245,"1,350"
Boston,19,11,764,16,157,937
Boston,19,13,639,16,142,797
Boston,20,3,863,30,283,"1,176"
Boston,20,21,88,7,36,131
TOTALS,,,"16,754",352,"3,492","20,598"
