City/Town,Ward,Pct,"James J. O'Day","All Others",Blanks,"Total Votes Cast"
,,,Democratic
"W. Boylston",-,1,"1,507",53,513,"2,073"
"W. Boylston",-,2,"1,930",51,629,"2,610"
Worcester,1,5,"1,178",47,317,"1,542"
Worcester,2,1,"1,386",55,394,"1,835"
Worcester,2,2,"1,128",43,338,"1,509"
Worcester,2,3,"1,156",43,388,"1,587"
Worcester,2,4,945,29,172,"1,146"
Worcester,2,5,731,31,192,954
Worcester,2,6,"1,006",35,260,"1,301"
Worcester,2,6A,0,0,0,0
Worcester,3,3,"1,069",38,299,"1,406"
Worcester,3,3A,0,0,0,0
Worcester,3,5,941,45,211,"1,197"
Worcester,3,5A,0,0,0,0
Worcester,3,6,975,20,238,"1,233"
TOTALS,,,"13,952",490,"3,951","18,393"
