City/Town,Ward,Pct,"Tommy Vitolo","All Others",Blanks,"Total Votes Cast"
,,,Democratic
Brookline,-,1,"1,164",13,291,"1,468"
Brookline,-,2,832,11,168,"1,011"
Brookline,-,3,"1,332",16,329,"1,677"
Brookline,-,4,"1,091",23,269,"1,383"
Brookline,-,5A,644,9,191,844
Brookline,-,6,"1,465",17,301,"1,783"
Brookline,-,7,"1,247",14,315,"1,576"
Brookline,-,8,"1,350",20,287,"1,657"
Brookline,-,9,"1,400",22,313,"1,735"
Brookline,-,10,"1,418",27,282,"1,727"
Brookline,-,11,"1,466",21,340,"1,827"
Brookline,-,12,"1,517",22,353,"1,892"
Brookline,-,17,"1,214",11,275,"1,500"
TOTALS,,,"16,140",226,"3,714","20,080"
