City/Town,Ward,Pct,"Rodney M. Elliott","All Others",Blanks,"Total Votes Cast"
,,,Democratic
Chelmsford,-,1,"1,222",22,519,"1,763"
Chelmsford,-,2,"1,366",10,559,"1,935"
Chelmsford,-,3A,643,6,257,906
Chelmsford,-,5B,342,4,186,532
Chelmsford,-,6,"1,377",17,571,"1,965"
Lowell,1,1,749,45,199,993
Lowell,1,2,999,53,290,"1,342"
Lowell,1,3,"1,605",59,466,"2,130"
Lowell,1,4,734,40,239,"1,013"
Lowell,2,1,716,36,200,952
Lowell,2,2,736,33,203,972
Lowell,2,3,942,46,236,"1,224"
Lowell,2,4,850,47,249,"1,146"
Lowell,4,4,611,28,185,824
TOTALS,,,"12,892",446,"4,359","17,697"
