City/Town,Ward,Pct,"Tara Thorn Hong","David Michael Ouellette","All Others",Blanks,"Total Votes Cast"
,,,Democratic,Unenrolled
Lowell,1,1A,0,0,0,0,0
Lowell,4,3,250,77,4,45,376
Lowell,4,4A,7,0,0,0,7
Lowell,5,1A,175,39,4,33,251
Lowell,6,1,741,158,11,115,"1,025"
Lowell,6,2,520,82,6,99,707
Lowell,6,3A,76,36,0,29,141
Lowell,6,4,486,114,4,65,669
Lowell,7,1,484,152,7,119,762
Lowell,7,2,475,201,7,130,813
Lowell,7,3,598,155,9,114,876
Lowell,7,4,404,92,6,93,595
Lowell,8,1,700,214,10,140,"1,064"
Lowell,8,2,703,174,3,115,995
Lowell,8,3,"1,104",346,11,228,"1,689"
Lowell,8,4,869,260,1,178,"1,308"
TOTALS,,,"7,592","2,100",83,"1,503","11,278"
