City/Town,Ward,Pct,"David Allen Robertson","Paul Sarnowski","George Hugh Ferdinand","All Others",Blanks,"Total Votes Cast"
,,,Democratic,Republican,Unenrolled
Tewksbury,-,2,"1,126",818,345,4,165,"2,458"
Tewksbury,-,4,"1,027",724,285,3,175,"2,214"
Tewksbury,-,5,971,751,233,6,170,"2,131"
Tewksbury,-,6,997,843,290,8,165,"2,303"
Tewksbury,-,8,"1,133",790,266,5,166,"2,360"
Wilmington,-,1,"1,308",831,118,0,180,"2,437"
Wilmington,-,2,"1,237",870,88,0,201,"2,396"
Wilmington,-,3,"1,088",946,89,3,188,"2,314"
Wilmington,-,4,"1,256",919,118,2,194,"2,489"
Wilmington,-,5,"1,199",815,95,1,155,"2,265"
Wilmington,-,6,"1,218",973,102,1,205,"2,499"
TOTALS,,,"12,560","9,280","2,029",33,"1,964","25,866"
