City/Town,Ward,Pct,"Kate Donaghue","Boyd Stewart Conklin","All Others",Blanks,"Total Votes Cast"
,,,Democratic,Unenrolled
Framingham,-,21A,805,194,4,114,"1,117"
Northborough,-,1,"1,553",535,14,194,"2,296"
Northborough,-,2,"1,534",503,5,189,"2,231"
Northborough,-,3,"1,621",535,8,197,"2,361"
Southborough,-,1,"1,478",408,3,220,"2,109"
Southborough,-,2,"1,423",437,0,189,"2,049"
Southborough,-,3,"1,443",449,4,192,"2,088"
Westborough,-,1,"1,062",237,2,110,"1,411"
Westborough,-,2,993,282,1,86,"1,362"
Westborough,-,3,"1,110",334,6,109,"1,559"
Westborough,-,5,"1,689",399,6,179,"2,273"
Westborough,-,6,"1,786",419,8,157,"2,370"
TOTALS,,,"16,497","4,732",61,"1,936","23,226"
