City/Town,Ward,Pct,"Christopher Richard Flanagan","Gerald Joseph O'Connell","All Others",Blanks,"Total Votes Cast"
,,,Democratic,Republican
Brewster,-,1,"1,532",946,2,150,"2,630"
Brewster,-,2,"1,435",770,2,132,"2,339"
Brewster,-,3,"1,369",864,2,145,"2,380"
Dennis,-,1,"1,175","1,024",1,129,"2,329"
Dennis,-,2,"1,242",976,1,161,"2,380"
Dennis,-,3,868,623,2,80,"1,573"
Dennis,-,4,"1,093",947,3,134,"2,177"
Dennis,-,5,988,766,3,100,"1,857"
Yarmouth,-,1,"1,192",934,6,121,"2,253"
Yarmouth,-,2,"1,111",936,3,126,"2,176"
Yarmouth,-,3,773,763,3,90,"1,629"
Yarmouth,-,4,946,873,4,104,"1,927"
Yarmouth,-,7,"1,196",961,2,126,"2,285"
Yarmouth,-,8,687,613,1,74,"1,375"
TOTALS,,,"15,607","11,996",35,"1,672","29,310"
