City/Town,Ward,Pct,"Michael Chaisson","Kostas Loukos","All Others",Blanks,"Total Votes Cast"
,,,Republican,Democratic
Foxborough,-,1,935,844,0,140,"1,919"
Foxborough,-,2,"1,340","1,047",0,178,"2,565"
Foxborough,-,3,"1,108",837,0,161,"2,106"
Foxborough,-,4,"1,234",969,0,163,"2,366"
Foxborough,-,5,"1,111",976,0,169,"2,256"
Mansfield,-,2,593,844,0,101,"1,538"
Mansfield,-,3,951,"1,238",0,148,"2,337"
Mansfield,-,6,539,890,0,124,"1,553"
Mansfield,-,7,682,"1,041",1,132,"1,856"
Norton,-,3,"1,095","1,054",6,209,"2,364"
Norton,-,4,"1,124",985,5,222,"2,336"
Norton,-,5,692,591,3,131,"1,417"
TOTALS,,,"11,404","11,316",15,"1,878","24,613"
