City/Town,Ward,Pct,"Todd M. Smola","All Others",Blanks,"Total Votes Cast"
,,,Republican
Brimfield,-,1,"1,941",24,398,"2,363"
Holland,-,1,"1,280",10,299,"1,589"
Palmer,-,1,"1,446",4,316,"1,766"
Palmer,-,2,"1,402",0,356,"1,758"
Palmer,-,3,"1,098",3,276,"1,377"
Palmer,-,4,"1,254",0,310,"1,564"
Sturbridge,-,1,"1,559",36,442,"2,037"
Sturbridge,-,2,"1,609",33,442,"2,084"
Sturbridge,-,3,"1,454",32,439,"1,925"
Wales,-,1,944,0,198,"1,142"
Ware,-,B,"1,358",6,289,"1,653"
Ware,-,C,"1,643",5,399,"2,047"
Warren,-,A,"1,562",9,448,"2,019"
Warren,-,B,525,1,135,661
TOTALS,,,"19,075",163,"4,747","23,985"
