City/Town,Ward,Pct,"Margaret R. Scarsdale","Lynne E. Archambault","All Others",Blanks,"Total Votes Cast"
,,,Democratic,Republican
Ashby,-,1,914,"1,017",0,72,"2,003"
Dunstable,-,1,"1,104","1,028",2,97,"2,231"
Groton,-,2,"1,415",837,1,117,"2,370"
Groton,-,3,"1,453",788,2,113,"2,356"
Lunenburg,-,A,891,850,3,69,"1,813"
Lunenburg,-,B1,40,33,0,8,81
Lunenburg,-,C,799,819,1,106,"1,725"
Lunenburg,-,D,985,905,1,74,"1,965"
Pepperell,-,1,806,862,0,68,"1,736"
Pepperell,-,2,992,"1,015",5,60,"2,072"
Pepperell,-,3,887,955,2,69,"1,913"
Pepperell,-,4,842,753,3,57,"1,655"
Townsend,-,1,795,"1,011",0,64,"1,870"
Townsend,-,2,805,978,0,82,"1,865"
Townsend,-,3,817,982,0,56,"1,855"
TOTALS,,,"13,545","12,833",20,"1,112","27,510"
