City/Town,Ward,Pct,"Michelle L. Badger","Jesse G. Brown","All Others",Blanks,"Total Votes Cast"
,,,Democratic,Republican
Plymouth,-,4,"1,075",837,4,102,"2,018"
Plymouth,-,6,"1,218","1,056",0,109,"2,383"
Plymouth,-,7,"1,145",993,0,116,"2,254"
Plymouth,-,8,"1,157","1,179",0,128,"2,464"
Plymouth,-,9,951,"1,044",2,84,"2,081"
Plymouth,-,10,"1,125","1,131",1,109,"2,366"
Plymouth,-,11,"1,049","1,061",0,236,"2,346"
Plymouth,-,12,937,980,0,84,"2,001"
Plymouth,-,14,"1,089","1,265",0,103,"2,457"
Plymouth,-,15,"1,934","1,335",1,195,"3,465"
Plymouth,-,16,"1,361","1,047",3,119,"2,530"
Plymouth,-,17,"1,510","1,245",0,141,"2,896"
Plymouth,-,18,726,779,0,70,"1,575"
TOTALS,,,"15,277","13,952",11,"1,596","30,836"
