City/Town,Ward,Pct,"Kenneth I. Gordon","All Others",Blanks,"Total Votes Cast"
,,,Democratic
Bedford,-,1,"1,739",38,461,"2,238"
Bedford,-,2,"1,111",13,331,"1,455"
Bedford,-,2A,327,6,103,436
Bedford,-,3,"1,696",39,495,"2,230"
Bedford,-,4,"1,607",29,437,"2,073"
Burlington,-,1,"1,469",53,850,"2,372"
Burlington,-,2,"1,018",27,406,"1,451"
Burlington,-,3,"1,403",47,683,"2,133"
Burlington,-,4,"1,193",34,471,"1,698"
Burlington,-,5,"1,635",58,740,"2,433"
Burlington,-,6,"1,573",54,725,"2,352"
Burlington,-,7,"1,461",44,656,"2,161"
Lexington,-,6,"1,597",15,577,"2,189"
TOTALS,,,"17,829",457,"6,935","25,221"
