City/Town,Ward,Pct,"Joseph W. Mcgonagle, Jr","All Others",Blanks,"Total Votes Cast"
,,,Democratic
Everett,1,1,528,21,157,706
Everett,1,2,387,22,115,524
Everett,1,3A,153,9,44,206
Everett,2,2,233,8,73,314
Everett,2,3,460,30,124,614
Everett,3,1,704,25,246,975
Everett,3,2,578,21,165,764
Everett,3,3,415,13,126,554
Everett,4,1,640,22,149,811
Everett,4,2,566,34,146,746
Everett,4,3,537,26,167,730
Everett,5,1,532,16,160,708
Everett,5,2,472,28,145,645
Everett,5,3,498,26,129,653
Everett,6,1,609,10,150,769
Everett,6,2,491,17,147,655
Everett,6,3,611,22,163,796
TOTALS,,,"8,414",350,"2,406","11,170"
