City/Town,Ward,Pct,"Kip A. Diggs","Susanne H. Conley","All Others",Blanks,"Total Votes Cast"
,,,Democratic,Republican
Barnstable,-,1,"1,666",869,0,101,"2,636"
Barnstable,-,2,"1,357",980,5,68,"2,410"
Barnstable,-,3,"1,057",680,5,74,"1,816"
Barnstable,-,4,"1,245",871,2,71,"2,189"
Barnstable,-,5,"1,327","1,304",2,64,"2,697"
Barnstable,-,6,"1,396",986,5,71,"2,458"
Barnstable,-,7,"1,600","1,008",2,90,"2,700"
Barnstable,-,8,954,553,4,60,"1,571"
Barnstable,-,9,522,311,2,38,873
Barnstable,-,13,884,572,2,72,"1,530"
Yarmouth,-,5,947,763,1,75,"1,786"
Yarmouth,-,6,"1,046",681,0,80,"1,807"
Yarmouth,-,8A,146,108,1,14,269
TOTALS,,,"14,147","9,686",31,878,"24,742"
