City/Town,Ward,Pct,"Richard M. Haggerty","All Others",Blanks,"Total Votes Cast"
,,,Democratic
Reading,-,2,"1,329",0,619,"1,948"
Reading,-,3,"1,337",0,788,"2,125"
Reading,-,4,"1,341",0,668,"2,009"
Reading,-,5,"1,329",0,684,"2,013"
Reading,-,6,"1,423",0,748,"2,171"
Woburn,1,2A,60,0,27,87
Woburn,2,1,"1,132",8,558,"1,698"
Woburn,2,2,975,2,373,"1,350"
Woburn,3,1,"1,074",4,485,"1,563"
Woburn,3,2,"1,220",7,643,"1,870"
Woburn,4,1,"1,111",6,596,"1,713"
Woburn,4,2,963,2,433,"1,398"
Woburn,5,1,"1,145",6,434,"1,585"
Woburn,5,2,968,8,535,"1,511"
Woburn,6,1,707,6,343,"1,056"
Woburn,6,2,"1,086",4,543,"1,633"
TOTALS,,,"17,200",53,"8,477","25,730"
