City/Town,Ward,Pct,"Leigh Susan Davis","Marybeth F. Mitts","All Others",Blanks,"Total Votes Cast"
,,,Democratic,Unenrolled
Alford,-,1,193,106,0,27,326
Becket,-,1,622,495,3,127,"1,247"
Dalton,-,1,916,746,6,192,"1,860"
Dalton,-,2,877,740,6,201,"1,824"
Egremont,-,1,612,283,2,59,956
"Great Barrington",-,A,713,284,2,54,"1,053"
"Great Barrington",-,B,644,355,1,43,"1,043"
"Great Barrington",-,C,472,213,1,48,734
"Great Barrington",-,D,744,304,5,78,"1,131"
Lee,-,1,"1,574","1,445",7,232,"3,258"
Lenox,-,1,"1,421","1,699",1,176,"3,297"
Monterey,-,1,413,160,0,31,604
"Mount Washington",-,1,69,49,0,7,125
"New Marlborough",-,1,537,380,3,82,"1,002"
Otis,-,1,465,487,0,121,"1,073"
Richmond,-,1,537,421,2,59,"1,019"
Sandisfield,-,1,247,216,0,44,507
Sheffield,-,1,"1,160",704,6,169,"2,039"
Stockbridge,-,1,722,519,1,77,"1,319"
Tyringham,-,1,167,128,0,31,326
Washington,-,1,164,161,0,35,360
"W. Stockbridge",-,1,550,327,0,64,941
TOTALS,,,"13,819","10,222",46,"1,957","26,044"
