City/Town,Ward,Pct,"Nicholas A. Boldyga","All Others",Blanks,"Total Votes Cast"
,,,Republican
Agawam,-,2,"1,688",21,481,"2,190"
Agawam,-,3,"1,430",21,468,"1,919"
Agawam,-,4,"1,243",8,403,"1,654"
Agawam,-,5,"1,645",15,519,"2,179"
Agawam,-,6,"1,512",9,451,"1,972"
Agawam,-,7,"1,657",13,469,"2,139"
Agawam,-,8,"1,549",10,474,"2,033"
Blandford,-,1,618,4,198,820
Chester,-,1,578,0,173,751
Granville,-,1,812,0,183,995
Huntington,-,1,928,2,309,"1,239"
Middlefield,-,1,224,0,93,317
Montgomery,-,1,443,7,106,556
Russell,-,1,728,176,7,911
Southwick,-,1,"1,809",32,409,"2,250"
Southwick,-,2,"1,357",21,300,"1,678"
Southwick,-,3,"1,552",21,381,"1,954"
Tolland,-,1,254,0,77,331
TOTALS,,,"20,027",360,"5,501","25,888"
