City/Town,Ward,Pct,"Danielle W. Gregoire","All Others",Blanks,"Total Votes Cast"
,,,Democratic
Framingham,-,21B,513,11,199,723
Framingham,-,22,"1,182",31,438,"1,651"
Framingham,-,23,"1,086",31,398,"1,515"
Marlborough,1,1A,24,0,6,30
Marlborough,2,1,"1,056",15,403,"1,474"
Marlborough,2,2,895,8,255,"1,158"
Marlborough,3,1,702,5,253,960
Marlborough,3,2,"1,331",10,426,"1,767"
Marlborough,4,1,561,3,227,791
Marlborough,4,2,"1,250",22,464,"1,736"
Marlborough,5,1,650,6,244,900
Marlborough,5,2,"1,053",9,376,"1,438"
Marlborough,6,1,685,5,269,959
Marlborough,6,2,"1,202",16,509,"1,727"
Marlborough,7,1,816,11,316,"1,143"
Marlborough,7,2,915,11,328,"1,254"
TOTALS,,,"13,921",194,"5,111","19,226"
