City/Town,Ward,Pct,"Patrick Joseph Kearney","All Others",Blanks,"Total Votes Cast"
,,,Democratic
Marshfield,-,1,"1,782",0,764,"2,546"
Marshfield,-,2,"1,566",0,638,"2,204"
Marshfield,-,3,"1,880",0,725,"2,605"
Marshfield,-,5,"1,686",0,637,"2,323"
Marshfield,-,6,"1,957",0,847,"2,804"
Marshfield,-,7,"1,856",0,723,"2,579"
Norwell,-,3,"1,669",20,692,"2,381"
Scituate,-,1,"1,655",14,584,"2,253"
Scituate,-,2,"1,678",25,553,"2,256"
Scituate,-,3,"1,673",16,504,"2,193"
Scituate,-,4,"1,700",14,654,"2,368"
Scituate,-,5,"1,624",12,503,"2,139"
Scituate,-,6,"1,802",0,564,"2,366"
TOTALS,,,"22,528",101,"8,388","31,017"
