City/Town,Ward,Pct,"Steven G. Xiarhos","Owen G. Fletcher","All Others",Blanks,"Total Votes Cast"
,,,Republican,Democratic
Barnstable,-,10,"1,306",783,5,85,"2,179"
Barnstable,-,11,"1,476",937,2,69,"2,484"
Barnstable,-,12,"1,435",947,3,69,"2,454"
Bourne,-,1,"1,280",581,2,122,"1,985"
Bourne,-,2,"1,179",654,3,126,"1,962"
Bourne,-,3,658,333,6,50,"1,047"
Bourne,-,5A,218,112,0,20,350
Bourne,-,7,922,615,0,93,"1,630"
Sandwich,-,1,"1,303","1,106",1,106,"2,516"
Sandwich,-,2,"1,224","1,068",0,81,"2,373"
Sandwich,-,3,"1,328",865,0,66,"2,259"
Sandwich,-,4,"1,388",855,1,93,"2,337"
Sandwich,-,5,"1,289",770,1,81,"2,141"
Sandwich,-,6,"1,378",679,1,86,"2,144"
TOTALS,,,"16,384","10,305",25,"1,147","27,861"
