City/Town,Ward,Pct,"Patricia A. Duffy","All Others",Blanks,"Total Votes Cast"
,,,Democratic
Chicopee,3,A1,187,7,47,241
Chicopee,3,B,828,28,248,"1,104"
Holyoke,1,A,437,0,124,561
Holyoke,1,B,554,0,152,706
Holyoke,2,A,563,0,194,757
Holyoke,2,B,397,0,124,521
Holyoke,3,A,839,0,226,"1,065"
Holyoke,3,B,"1,001",0,358,"1,359"
Holyoke,4,A,461,4,117,582
Holyoke,4,B,672,2,179,853
Holyoke,5,A,"1,271",10,556,"1,837"
Holyoke,5,B,866,4,332,"1,202"
Holyoke,6,A,795,4,217,"1,016"
Holyoke,6,B,"1,004",3,267,"1,274"
Holyoke,7,A,"1,342",0,427,"1,769"
Holyoke,7,B,"1,151",2,304,"1,457"
TOTALS,,,"12,368",64,"3,872","16,304"
