City/Town,Ward,Pct,"Christopher J. Worrell","All Others",Blanks,"Total Votes Cast"
,,,Democratic
Boston,7,10,604,9,107,720
Boston,8,5,788,8,166,962
Boston,12,6,441,6,82,529
Boston,12,7,996,25,230,"1,251"
Boston,12,9,489,9,71,569
Boston,13,1,636,8,121,765
Boston,13,2,256,13,45,314
Boston,13,4,491,9,101,601
Boston,13,5,440,12,108,560
Boston,14,1,983,30,176,"1,189"
Boston,14,3,274,9,46,329
Boston,14,4,609,19,105,733
Boston,15,1,693,11,137,841
Boston,15,2,417,11,95,523
Boston,15,3,297,10,71,378
Boston,15,4,817,37,150,"1,004"
Boston,15,5,514,14,109,637
Boston,15,7,450,6,94,550
Boston,15,9,393,10,171,574
TOTALS,,,"10,588",256,"2,185","13,029"
