City/Town,Ward,Pct,"Donald R. Berthiaume, Jr","All Others",Blanks,"Total Votes Cast"
,,,Republican
Barre,-,1,"1,112",28,431,"1,571"
Barre,-,2,"1,238",7,309,"1,554"
Brookfield,-,1,"1,600",38,469,"2,107"
"E. Brookfield",-,1,"1,117",4,242,"1,363"
Hardwick,-,1,"1,194",14,376,"1,584"
Hubbardston,-,1,"2,294",16,667,"2,977"
Leicester,-,1,"1,279",24,353,"1,656"
"New Braintree",-,1,532,0,143,675
"N. Brookfield",-,1,"2,255",22,577,"2,854"
Oakham,-,1,976,9,281,"1,266"
Spencer,-,2,"1,110",28,277,"1,415"
Spencer,-,3,"1,427",2,301,"1,730"
Spencer,-,4,"1,321",19,376,"1,716"
Ware,-,A,"1,067",6,356,"1,429"
"W. Brookfield",-,1,"1,811",32,519,"2,362"
TOTALS,,,"20,333",249,"5,677","26,259"
