City/Town,Ward,Pct,"Kenneth Peter Sweezey","Rebecca W. Coletta","All Others",Blanks,"Total Votes Cast"
,,,Republican,Democratic
Duxbury,-,1,934,982,0,90,"2,006"
Duxbury,-,2,843,883,0,79,"1,805"
Duxbury,-,3,786,918,1,78,"1,783"
Duxbury,-,4,821,877,0,81,"1,779"
Duxbury,-,5,808,858,1,57,"1,724"
Duxbury,-,6,784,827,1,88,"1,700"
Halifax,-,2,"1,288",920,0,108,"2,316"
Hanson,-,2,"1,382",971,1,94,"2,448"
Hanson,-,3,"1,211",840,1,104,"2,156"
Marshfield,-,2A,112,159,0,18,289
Marshfield,-,4,"1,041","1,019",0,162,"2,222"
Pembroke,-,1,"1,289","1,073",7,109,"2,478"
Pembroke,-,2,"1,172",927,3,95,"2,197"
Pembroke,-,3A,4,14,0,0,18
Pembroke,-,4,"1,295","1,002",7,103,"2,407"
Pembroke,-,5,"1,138",964,2,80,"2,184"
TOTALS,,,"14,908","13,234",24,"1,346","29,512"
