City/Town,Ward,Pct,"John J. Marsi, Jr","David S. Adams","Jeanne Renaud Costello","All Others",Blanks,"Total Votes Cast"
,,,Republican,Republican,Democratic
Charlton,-,1,429,5,9,2,28,473
Charlton,-,2,415,8,2,6,14,445
Charlton,-,3,441,3,4,6,20,474
Charlton,-,4A,7,0,0,0,0,7
Dudley,-,1,438,1,0,10,17,466
Dudley,-,2,332,6,1,4,12,355
Dudley,-,3,318,3,8,5,18,352
Dudley,-,4,408,0,2,6,11,427
Southbridge,-,1,251,17,2,5,5,280
Southbridge,-,2,216,4,2,13,0,235
Southbridge,-,3,287,19,4,21,0,331
Southbridge,-,4,469,33,2,9,11,524
Southbridge,-,5,157,11,0,16,0,184
Spencer,-,1,343,0,2,17,28,390
TOTALS,,,"4,511",110,38,120,164,"4,943"
