City/Town,Ward,Pct,"John J. Marsi, Jr","Jeanne Renaud Costello","All Others",Blanks,"Total Votes Cast"
,,,Republican,Democratic
Charlton,-,1,"1,121",735,0,128,"1,984"
Charlton,-,2,"1,358",658,0,123,"2,139"
Charlton,-,3,"1,239",761,3,103,"2,106"
Charlton,-,4A,37,18,0,0,55
Dudley,-,1,"1,210",568,1,79,"1,858"
Dudley,-,2,968,429,1,77,"1,475"
Dudley,-,3,907,366,0,55,"1,328"
Dudley,-,4,"1,215",468,0,61,"1,744"
Southbridge,-,1,692,608,5,119,"1,424"
Southbridge,-,2,549,489,3,73,"1,114"
Southbridge,-,3,832,574,2,99,"1,507"
Southbridge,-,4,"1,021",832,9,147,"2,009"
Southbridge,-,5,444,500,5,71,"1,020"
Spencer,-,1,847,641,1,101,"1,590"
TOTALS,,,"12,440","7,647",30,"1,236","21,353"
