City/Town,Ward,Pct,"Richard Gerard Wells, Jr","Clinton Graham","All Others",Blanks,"Total Votes Cast"
,,,Democratic,Unenrolled
Milton,-,3,"1,074",540,7,192,"1,813"
Milton,-,4,583,373,2,94,"1,052"
Milton,-,5,789,410,7,213,"1,419"
Milton,-,6,941,682,6,184,"1,813"
Milton,-,7,"1,051",452,6,168,"1,677"
Milton,-,8,"1,104",635,9,149,"1,897"
Milton,-,9,"1,052",653,6,197,"1,908"
Milton,-,10,683,436,3,129,"1,251"
Randolph,-,1,986,393,9,189,"1,577"
Randolph,-,2,714,409,8,135,"1,266"
Randolph,-,3,586,418,6,137,"1,147"
Randolph,-,4,842,436,8,163,"1,449"
Randolph,-,5,832,368,12,175,"1,387"
Randolph,-,6,572,194,6,110,882
Randolph,-,9,699,451,8,137,"1,295"
Randolph,-,10,871,399,12,162,"1,444"
TOTALS,,,"13,379","7,249",115,"2,534","23,277"
