City/Town,Ward,Pct,"Steven J. Ouellette","Christopher Thrasher","Jesse St. W. Gelais","Manuel Soares, Jr","Laura A. Hadley","All Others",Blanks,"Total Votes Cast"
,,,Democratic,Republican,Unenrolled,Unenrolled,Unenrolled
Acushnet,-,2,378,444,876,42,70,0,108,"1,918"
Acushnet,-,3,444,503,"1,022",54,47,2,118,"2,190"
"Fall River",1,A,525,542,70,210,121,2,191,"1,661"
"Fall River",6,A,480,437,43,149,81,1,155,"1,346"
"Fall River",6,B,423,305,38,129,80,1,134,"1,110"
Freetown,-,2,458,616,491,56,94,1,178,"1,894"
Freetown,-,3,418,560,601,41,73,1,165,"1,859"
"New Bedford",1,B1,32,24,28,6,5,1,8,104
"New Bedford",1,C,288,245,248,37,51,5,76,950
Westport,-,A,672,688,183,234,117,1,125,"2,020"
Westport,-,B,"1,011",743,167,214,107,0,134,"2,376"
Westport,-,C,627,697,158,329,88,6,107,"2,012"
Westport,-,D,729,667,165,264,92,0,119,"2,036"
Westport,-,E,"1,012",765,142,238,143,3,162,"2,465"
TOTALS,,,"7,497","7,236","4,232","2,003","1,169",24,"1,780","23,941"
