City/Town,Ward,Pct,"Shirley B. Arriaga","All Others",Blanks,"Total Votes Cast"
,,,Democratic
Chicopee,1,A,"1,076",41,344,"1,461"
Chicopee,1,B,"1,265",35,391,"1,691"
Chicopee,2,B,"1,139",32,344,"1,515"
Chicopee,4,B,916,20,260,"1,196"
Chicopee,5,A,"1,103",31,298,"1,432"
Chicopee,5,B,998,27,283,"1,308"
Chicopee,6,AN,403,11,125,539
Chicopee,6,AS,679,17,258,954
Chicopee,6,BE,"1,042",42,407,"1,491"
Chicopee,6,BW,202,20,81,303
Chicopee,7,A,809,36,200,"1,045"
Chicopee,7,B,888,30,201,"1,119"
Chicopee,8,A,"1,113",46,299,"1,458"
Chicopee,8,B,"1,042",54,315,"1,411"
Chicopee,9,A,"1,081",41,289,"1,411"
Chicopee,9,B,"1,221",55,387,"1,663"
TOTALS,,,"14,977",538,"4,482","19,997"
