City/Town,Ward,Pct,"Thomas M. Stanley","Carly Marie Downs","Sean Diamond","All Others",Blanks,"Total Votes Cast"
,,,Democratic,Republican,Unenrolled
Waltham,1,1,"1,385",406,117,0,141,"2,049"
Waltham,1,2,"1,260",471,89,0,168,"1,988"
Waltham,2,1,"1,280",382,120,0,144,"1,926"
Waltham,2,2,"1,003",244,65,0,76,"1,388"
Waltham,3,1,"1,315",517,88,0,167,"2,087"
Waltham,3,2,"1,301",374,122,0,148,"1,945"
Waltham,4,1,"1,305",381,175,0,146,"2,007"
Waltham,5,2,693,148,65,0,76,982
Waltham,6,1,"1,053",264,91,0,99,"1,507"
Waltham,6,2A,130,43,13,0,24,210
Waltham,7,1,"1,262",293,132,0,111,"1,798"
Waltham,7,2,444,75,38,0,57,614
Waltham,8,1,"1,020",228,104,0,114,"1,466"
Waltham,8,2A,14,3,0,0,0,17
TOTALS,,,"13,465","3,829","1,219",0,"1,471","19,984"
