City/Town,Ward,Pct,"Edward J. Kennedy, Jr","Karla J. Miller","All Others",Blanks,"Total Votes Cast"
,,,Democratic,Republican
Dracut,-,1,905,652,0,107,"1,664"
Dracut,-,2,935,650,0,128,"1,713"
Dracut,-,3,970,781,0,139,"1,890"
Dracut,-,4,"1,184","1,036",0,174,"2,394"
Dracut,-,5,990,886,0,120,"1,996"
Dracut,-,6,912,690,0,129,"1,731"
Dracut,-,6A,52,27,0,3,82
Dracut,-,7,966,696,0,127,"1,789"
Dracut,-,8,"1,151","1,085",0,165,"2,401"
Dracut,-,9,"1,012",830,0,120,"1,962"
Dunstable,-,1,"1,198",904,3,126,"2,231"
Lowell,1,1,625,290,3,75,993
Lowell,1,1A,0,0,0,0,0
Lowell,1,2,817,405,6,114,"1,342"
Lowell,1,3,"1,339",620,3,168,"2,130"
Lowell,1,4,566,353,16,78,"1,013"
Lowell,2,1,618,236,5,93,952
Lowell,2,2,630,247,4,91,972
Lowell,2,3,825,314,9,76,"1,224"
Lowell,2,4,717,315,4,110,"1,146"
Lowell,3,1,679,213,1,102,995
Lowell,3,2,"1,403",684,4,161,"2,252"
Lowell,3,3,"1,097",548,6,129,"1,780"
Lowell,3,4,750,334,9,115,"1,208"
Lowell,4,1,523,134,2,80,739
Lowell,4,2,995,253,5,137,"1,390"
Lowell,4,3,269,66,3,38,376
Lowell,4,3A,186,28,3,18,235
Lowell,4,4,515,235,5,69,824
Lowell,4,4A,6,1,0,0,7
Lowell,5,1,719,261,3,100,"1,083"
Lowell,5,1A,173,51,0,27,251
Lowell,5,2,649,243,6,100,998
Lowell,5,3,478,168,1,77,724
Lowell,5,4,780,375,3,108,"1,266"
Lowell,6,1,687,209,6,123,"1,025"
Lowell,6,2,449,136,2,120,707
Lowell,6,3,342,105,1,74,522
Lowell,6,3A,75,44,0,22,141
Lowell,6,4,459,146,1,63,669
Lowell,6,4A,188,68,1,23,280
Lowell,7,1,496,160,4,102,762
Lowell,7,2,521,167,2,123,813
Lowell,7,3,592,163,4,117,876
Lowell,7,4,380,122,4,89,595
Lowell,8,1,697,254,4,109,"1,064"
Lowell,8,2,667,236,1,91,995
Lowell,8,3,"1,026",492,7,164,"1,689"
Lowell,8,4,813,330,0,165,"1,308"
Lowell,8,4A,30,13,0,3,46
Pepperell,-,1,874,747,0,115,"1,736"
Pepperell,-,2,"1,058",908,2,104,"2,072"
Pepperell,-,3,979,828,2,104,"1,913"
Pepperell,-,4,930,620,2,103,"1,655"
Tyngsborough,-,1,980,777,0,129,"1,886"
Tyngsborough,-,2,984,722,0,132,"1,838"
Tyngsborough,-,3,940,681,0,127,"1,748"
Tyngsborough,-,4,"1,086",883,0,151,"2,120"
TOTALS,,,"40,887","23,422",147,"5,757","70,213"
