City/Town,Ward,Pct,"Jason M. Lewis","All Others",Blanks,"Total Votes Cast"
,,,Democratic
Malden,1,1,574,9,189,772
Malden,1,2,629,15,247,891
Malden,1,3,649,19,261,929
Malden,2,1,562,22,163,747
Malden,2,2,602,21,241,864
Malden,2,3,705,18,295,"1,018"
Malden,3,1,401,8,180,589
Malden,3,1A,480,7,229,716
Malden,3,2,722,13,242,977
Malden,3,3,832,17,290,"1,139"
Malden,4,1,690,15,189,894
Malden,4,2,469,9,126,604
Malden,4,3,627,15,208,850
Malden,5,1,706,15,234,955
Malden,5,2,983,25,344,"1,352"
Malden,5,3,352,14,131,497
Malden,5,3A,409,7,135,551
Malden,6,1,904,27,352,"1,283"
Malden,6,2,694,24,225,943
Malden,6,3,718,35,259,"1,012"
Malden,7,1,587,19,173,779
Malden,7,2,633,14,205,852
Malden,7,3,345,11,142,498
Malden,7,3A,254,11,97,362
Malden,8,1,780,22,297,"1,099"
Malden,8,2,706,29,225,960
Malden,8,3,533,15,194,742
Melrose,1,1,947,20,382,"1,349"
Melrose,1,2,803,18,345,"1,166"
Melrose,2,1,882,19,441,"1,342"
Melrose,2,2,852,16,374,"1,242"
Melrose,3,1,834,15,324,"1,173"
Melrose,3,2,857,20,376,"1,253"
Melrose,4,1,869,18,300,"1,187"
Melrose,4,2,891,26,507,"1,424"
Melrose,5,1,711,12,236,959
Melrose,5,2,709,10,198,917
Melrose,6,1,858,17,300,"1,175"
Melrose,6,2,942,24,461,"1,427"
Melrose,7,1,899,22,364,"1,285"
Melrose,7,2,916,28,458,"1,402"
Reading,-,1,"1,419",0,838,"2,257"
Reading,-,2,"1,330",0,618,"1,948"
Reading,-,3,"1,350",0,775,"2,125"
Reading,-,4,"1,359",0,650,"2,009"
Reading,-,5,"1,337",0,676,"2,013"
Reading,-,6,"1,436",0,735,"2,171"
Reading,-,7,"1,358",0,755,"2,113"
Reading,-,8,"1,272",0,742,"2,014"
Stoneham,-,1,"1,199",1,625,"1,825"
Stoneham,-,2,"1,344",2,600,"1,946"
Stoneham,-,3,"1,310",0,801,"2,111"
Stoneham,-,4,"1,143",0,687,"1,830"
Stoneham,-,5,"1,301",2,754,"2,057"
Stoneham,-,6,"1,410",1,748,"2,159"
Stoneham,-,7,"1,114",9,634,"1,757"
Wakefield,-,1,"1,329",31,904,"2,264"
Wakefield,-,2,"1,444",23,755,"2,222"
Wakefield,-,3,"1,526",33,851,"2,410"
Wakefield,-,4,"1,542",27,796,"2,365"
Wakefield,-,5,"1,604",35,829,"2,468"
Wakefield,-,6,"1,580",37,777,"2,394"
Wakefield,-,7,"1,477",31,847,"2,355"
Winchester,-,1,"1,216",19,487,"1,722"
Winchester,-,2,985,25,402,"1,412"
Winchester,-,3,"1,372",22,449,"1,843"
Winchester,-,8,948,24,414,"1,386"
TOTALS,,,"63,221","1,043","29,088","93,352"
