City/Town,Ward,Pct,"John C. Velis","All Others",Blanks,"Total Votes Cast"
,,,Democratic
Agawam,-,1,"1,271",4,471,"1,746"
Agawam,-,2,"1,541",12,637,"2,190"
Agawam,-,3,"1,359",5,555,"1,919"
Agawam,-,4,"1,179",9,466,"1,654"
Agawam,-,5,"1,540",19,620,"2,179"
Agawam,-,6,"1,398",26,548,"1,972"
Agawam,-,7,"1,472",17,650,"2,139"
Agawam,-,8,"1,448",15,570,"2,033"
Chicopee,7,A,815,37,193,"1,045"
Chicopee,9,A,"1,102",45,264,"1,411"
Easthampton,-,1,"1,666",8,381,"2,055"
Easthampton,-,2,"1,546",7,340,"1,893"
Easthampton,-,3,"1,712",9,415,"2,136"
Easthampton,-,4,"1,655",8,359,"2,022"
Easthampton,-,5,"1,728",7,420,"2,155"
Holyoke,1,A,439,0,122,561
Holyoke,1,B,556,0,150,706
Holyoke,2,A,575,0,182,757
Holyoke,2,B,406,0,115,521
Holyoke,3,A,862,0,203,"1,065"
Holyoke,3,B,"1,065",1,293,"1,359"
Holyoke,4,A,454,3,125,582
Holyoke,4,B,675,2,176,853
Holyoke,5,A,"1,372",12,453,"1,837"
Holyoke,5,B,913,5,284,"1,202"
Holyoke,6,A,802,5,209,"1,016"
Holyoke,6,B,"1,011",1,262,"1,274"
Holyoke,7,A,"1,413",0,356,"1,769"
Holyoke,7,B,"1,175",3,279,"1,457"
Montgomery,-,1,407,12,137,556
Russell,-,1,700,194,17,911
Southampton,-,1,"1,468",30,507,"2,005"
Southampton,-,2,"1,549",39,495,"2,083"
"W. Springfield",-,1,568,5,200,773
"W. Springfield",-,2,781,10,264,"1,055"
"W. Springfield",-,3,"1,060",7,382,"1,449"
"W. Springfield",-,4,"1,235",8,390,"1,633"
"W. Springfield",-,5,"1,593",17,606,"2,216"
"W. Springfield",-,6,"1,483",15,557,"2,055"
"W. Springfield",-,7,"1,446",15,657,"2,118"
"W. Springfield",-,8,"1,168",17,397,"1,582"
Westfield,1,A,"1,615",13,514,"2,142"
Westfield,1,B,"1,440",30,413,"1,883"
Westfield,2,A,845,13,182,"1,040"
Westfield,2,A1,58,0,12,70
Westfield,2,B,"1,169",4,270,"1,443"
Westfield,3,A,935,14,242,"1,191"
Westfield,3,B,"1,397",17,344,"1,758"
Westfield,4,A,589,6,214,809
Westfield,4,B,"1,687",21,430,"2,138"
Westfield,5,A,"1,730",20,458,"2,208"
Westfield,5,B,"1,611",29,496,"2,136"
Westfield,6,A,"1,431",19,438,"1,888"
Westfield,6,B,"1,161",14,333,"1,508"
Westfield,6,B1,59,2,21,82
TOTALS,,,"62,335",831,"19,074","82,240"
