City/Town,Ward,Pct,"Karen E. Spilka","All Others",Blanks,"Total Votes Cast"
,,,Democratic
Ashland,-,1,"1,178",0,320,"1,498"
Ashland,-,2,"1,647",0,366,"2,013"
Ashland,-,3,"1,232",0,282,"1,514"
Ashland,-,4,"1,186",0,335,"1,521"
Ashland,-,5,"1,295",0,303,"1,598"
Ashland,-,6,"1,422",0,340,"1,762"
Framingham,-,1,335,11,90,436
Framingham,-,2,358,11,67,436
Framingham,-,3,361,24,72,457
Framingham,-,4,452,16,127,595
Framingham,-,5,562,25,168,755
Framingham,-,6,"1,125",38,275,"1,438"
Framingham,-,7,"1,165",33,279,"1,477"
Framingham,-,8,632,25,153,810
Framingham,-,9A,818,33,210,"1,061"
Framingham,-,9B,37,5,11,53
Framingham,-,10,571,9,132,712
Framingham,-,11,731,19,203,953
Framingham,-,12,612,20,142,774
Framingham,-,13,424,11,93,528
Framingham,-,14,552,23,144,719
Framingham,-,15,616,16,136,768
Framingham,-,16,934,28,267,"1,229"
Framingham,-,17,"1,098",24,276,"1,398"
Framingham,-,18,"1,256",38,327,"1,621"
Framingham,-,19,"1,219",32,327,"1,578"
Framingham,-,20,"1,184",29,311,"1,524"
Framingham,-,21A,841,21,255,"1,117"
Framingham,-,21B,540,13,170,723
Framingham,-,21C,27,1,12,40
Framingham,-,22,"1,242",34,375,"1,651"
Framingham,-,23,"1,148",37,330,"1,515"
Framingham,-,24,"1,154",25,322,"1,501"
Framingham,-,25,"1,185",27,330,"1,542"
Framingham,-,26,"1,066",25,295,"1,386"
Framingham,-,27,"1,056",26,255,"1,337"
Holliston,-,1,"1,889",61,527,"2,477"
Holliston,-,2,"1,800",50,482,"2,332"
Holliston,-,3,"1,631",48,454,"2,133"
Holliston,-,4,"1,909",36,510,"2,455"
Hopkinton,-,1,"1,389",17,332,"1,738"
Hopkinton,-,2,"1,621",22,488,"2,131"
Hopkinton,-,3,"1,571",27,492,"2,090"
Hopkinton,-,4,"1,746",32,475,"2,253"
Hopkinton,-,5,"1,712",28,508,"2,248"
Medway,-,1,"1,433",19,524,"1,976"
Medway,-,2,"1,608",28,602,"2,238"
Medway,-,3,"1,574",31,586,"2,191"
Medway,-,4,"1,522",17,591,"2,130"
Natick,-,1,"1,069",6,275,"1,350"
Natick,-,2,"1,574",13,474,"2,061"
Natick,-,3,"1,572",17,515,"2,104"
Natick,-,4,"1,539",9,437,"1,985"
Natick,-,5,"1,568",18,533,"2,119"
Natick,-,6,"1,490",14,505,"2,009"
Natick,-,7,"1,890",11,522,"2,423"
Natick,-,8,"1,710",10,533,"2,253"
Natick,-,9,"1,757",12,495,"2,264"
Natick,-,10,"1,927",18,635,"2,580"
TOTALS,,,"68,762","1,223","19,595","89,580"
