City/Town,Ward,Pct,"Sal N. DiDomenico","All Others",Blanks,"Total Votes Cast"
,,,Democratic
Boston,2,1,"1,176",34,334,"1,544"
Boston,2,2,"1,011",28,345,"1,384"
Boston,2,3,"1,150",29,378,"1,557"
Boston,2,4,"1,100",18,268,"1,386"
Boston,2,5,"1,179",23,273,"1,475"
Boston,2,6,982,19,273,"1,274"
Boston,2,7,718,10,153,881
Boston,2,8,595,19,213,827
Cambridge,1,1,826,7,177,"1,010"
Cambridge,1,2,347,3,103,453
Cambridge,1,2A,33,0,5,38
Cambridge,1,3,"1,239",11,285,"1,535"
Cambridge,2,1,"1,350",14,269,"1,633"
Cambridge,2,2,"1,254",8,286,"1,548"
Cambridge,2,3,"1,120",3,262,"1,385"
Cambridge,2,3A,114,0,33,147
Cambridge,3,1,"1,099",8,264,"1,371"
Cambridge,3,2,"1,334",21,303,"1,658"
Cambridge,3,3,937,4,164,"1,105"
Cambridge,3,3A,463,5,88,556
Cambridge,4,1,"1,541",6,404,"1,951"
Cambridge,4,2,"1,200",6,297,"1,503"
Cambridge,4,2A,191,3,54,248
Cambridge,4,3,"1,395",9,323,"1,727"
Cambridge,5,1,"1,279",8,343,"1,630"
Cambridge,5,2,248,3,60,311
Cambridge,5,3,"1,276",8,276,"1,560"
Cambridge,6,1,"1,181",4,258,"1,443"
Cambridge,6,1A,352,0,59,411
Cambridge,6,2,865,4,204,"1,073"
Cambridge,6,3,"1,549",10,378,"1,937"
Cambridge,7,2,982,9,246,"1,237"
Cambridge,7,2A,25,0,15,40
Cambridge,7,3,422,8,101,531
Cambridge,8,3,452,6,89,547
Chelsea,1,1,311,0,158,469
Chelsea,1,2,223,0,83,306
Chelsea,1,3,307,0,110,417
Chelsea,1,4,291,0,108,399
Chelsea,2,1,771,0,312,"1,083"
Chelsea,2,2,499,0,137,636
Chelsea,2,3,260,0,122,382
Chelsea,2,4,340,0,111,451
Chelsea,3,1,380,0,145,525
Chelsea,3,2,430,0,157,587
Chelsea,3,3,377,0,130,507
Chelsea,3,4,392,0,145,537
Chelsea,4,1,497,0,154,651
Chelsea,4,2,473,0,204,677
Chelsea,4,3,451,0,214,665
Chelsea,4,4,402,0,175,577
Everett,1,1,546,22,138,706
Everett,1,2,392,24,108,524
Everett,1,3,300,10,82,392
Everett,1,3A,162,11,33,206
Everett,2,1,597,22,167,786
Everett,2,2,240,8,66,314
Everett,2,2A,242,3,65,310
Everett,2,3,460,31,123,614
Everett,3,1,720,20,235,975
Everett,3,2,573,29,162,764
Everett,3,3,433,17,104,554
Everett,4,1,648,18,145,811
Everett,4,2,584,35,127,746
Everett,4,3,557,23,150,730
Everett,5,1,545,20,143,708
Everett,5,2,490,23,132,645
Everett,5,3,505,21,127,653
Everett,6,1,617,13,139,769
Everett,6,2,496,19,140,655
Everett,6,3,617,19,160,796
TOTALS,,,"47,113",736,"12,594","60,443"
