City/Town,Ward,Pct,"James B. Eldridge","All Others",Blanks,"Total Votes Cast"
,,,Democratic
Acton,-,1,"1,166",23,284,"1,473"
Acton,-,2,"1,577",31,396,"2,004"
Acton,-,3,"1,802",40,399,"2,241"
Acton,-,4,"1,691",32,334,"2,057"
Acton,-,5,"1,611",27,362,"2,000"
Acton,-,6,"1,120",22,233,"1,375"
Acton,-,6A,486,13,85,584
Acton,-,7,"1,229",31,337,"1,597"
Ayer,-,1,"1,115",0,404,"1,519"
Ayer,-,2,"1,252",0,506,"1,758"
Ayer,-,3,"1,051",0,376,"1,427"
Boxborough,-,1,"2,499",1,692,"3,192"
Harvard,-,1,"3,121",73,860,"4,054"
Hudson,-,1,"1,385",11,468,"1,864"
Hudson,-,2,"1,183",13,430,"1,626"
Hudson,-,3,"1,413",10,526,"1,949"
Hudson,-,4,"1,607",18,661,"2,286"
Hudson,-,5,"1,606",10,543,"2,159"
Hudson,-,6,"1,135",14,400,"1,549"
Littleton,-,1,"1,645",0,590,"2,235"
Littleton,-,2,"1,557",0,602,"2,159"
Littleton,-,3,"1,648",0,544,"2,192"
Marlborough,1,1,779,8,290,"1,077"
Marlborough,1,1A,26,0,4,30
Marlborough,1,2,"1,290",15,511,"1,816"
Marlborough,2,1,"1,057",11,406,"1,474"
Marlborough,2,2,881,7,270,"1,158"
Marlborough,2,2A,5,0,8,13
Marlborough,3,1,696,7,257,960
Marlborough,3,2,"1,340",10,417,"1,767"
Marlborough,4,1,558,5,228,791
Marlborough,4,2,"1,275",16,445,"1,736"
Marlborough,5,1,648,10,242,900
Marlborough,5,2,"1,049",9,380,"1,438"
Marlborough,6,1,688,6,265,959
Marlborough,6,2,"1,214",12,501,"1,727"
Marlborough,7,1,827,9,307,"1,143"
Marlborough,7,2,909,12,333,"1,254"
Marlborough,7,2A,35,1,9,45
Maynard,-,1,"1,363",19,342,"1,724"
Maynard,-,2,"1,179",6,309,"1,494"
Maynard,-,3,"1,621",23,419,"2,063"
Maynard,-,4,"1,138",9,334,"1,481"
Southborough,-,1,"1,535",13,561,"2,109"
Southborough,-,2,"1,526",23,500,"2,049"
Southborough,-,3,"1,540",19,529,"2,088"
Stow,-,1,"1,863",24,594,"2,481"
Stow,-,2,"1,751",14,560,"2,325"
Sudbury,-,1,"1,562",31,512,"2,105"
Sudbury,-,2,"1,529",34,428,"1,991"
Sudbury,-,3,"1,315",25,459,"1,799"
Sudbury,-,4,"1,577",32,513,"2,122"
Sudbury,-,5,"1,415",21,490,"1,926"
Sudbury,-,6,"1,472",32,496,"2,000"
Wayland,-,1,"1,795",27,598,"2,420"
Wayland,-,2,"1,568",24,526,"2,118"
Wayland,-,3,"1,516",22,495,"2,033"
Wayland,-,4,"1,737",22,604,"2,363"
TOTALS,,,"75,178",927,"24,174","100,279"
