City/Town,Ward,Pct,"Cynthia Stone Creem","All Others",Blanks,"Total Votes Cast"
,,,Democratic
Brookline,-,1,"1,149",12,307,"1,468"
Brookline,-,2,812,11,188,"1,011"
Brookline,-,3,"1,304",11,362,"1,677"
Brookline,-,4,"1,082",24,277,"1,383"
Brookline,-,5,686,6,187,879
Brookline,-,5A,637,5,202,844
Brookline,-,6,"1,420",8,355,"1,783"
Brookline,-,7,"1,237",10,329,"1,576"
Brookline,-,8,"1,343",11,303,"1,657"
Brookline,-,9,"1,387",15,333,"1,735"
Brookline,-,10,"1,382",16,329,"1,727"
Brookline,-,11,"1,455",17,355,"1,827"
Brookline,-,12,"1,466",23,403,"1,892"
Brookline,-,13,"1,233",12,345,"1,590"
Brookline,-,13A,232,4,51,287
Brookline,-,14,"1,117",17,462,"1,596"
Brookline,-,14A,286,4,128,418
Brookline,-,15,"1,391",22,515,"1,928"
Brookline,-,16,"1,328",20,460,"1,808"
Brookline,-,17,"1,193",8,299,"1,500"
Newton,1,1,"1,008",29,390,"1,427"
Newton,1,2,"1,110",19,319,"1,448"
Newton,1,2A,54,1,20,75
Newton,1,3,"1,165",13,300,"1,478"
Newton,1,4,"1,041",32,413,"1,486"
Newton,2,1,"1,097",9,367,"1,473"
Newton,2,2,828,9,284,"1,121"
Newton,2,3,"1,264",21,407,"1,692"
Newton,2,4,"1,345",19,463,"1,827"
Newton,3,1,"1,171",18,404,"1,593"
Newton,3,1A,0,0,0,0
Newton,3,2,"1,186",13,399,"1,598"
Newton,3,3,"1,197",24,424,"1,645"
Newton,3,4,"1,097",20,448,"1,565"
Newton,4,1,"1,115",17,382,"1,514"
Newton,4,2,"1,052",15,318,"1,385"
Newton,4,3,815,8,289,"1,112"
Newton,4,4,"1,040",20,411,"1,471"
Newton,5,1,"1,082",22,357,"1,461"
Newton,5,2,"1,186",17,339,"1,542"
Newton,5,3,"1,337",10,412,"1,759"
Newton,5,4,"1,312",6,416,"1,734"
Newton,6,1,"1,070",22,430,"1,522"
Newton,6,2,"1,116",21,359,"1,496"
Newton,6,3,"1,315",16,364,"1,695"
Newton,6,4,"1,349",9,431,"1,789"
Newton,7,1,957,19,360,"1,336"
Newton,7,2,"1,323",15,390,"1,728"
Newton,7,3,359,9,124,492
Newton,7,4,586,11,229,826
Newton,8,1,"1,040",29,419,"1,488"
Newton,8,2,"1,091",26,394,"1,511"
Newton,8,3,"1,118",21,455,"1,594"
Newton,8,4,990,24,446,"1,460"
Wellesley,-,A,"1,486",18,580,"2,084"
Wellesley,-,B,"1,679",10,620,"2,309"
Wellesley,-,C,"1,444",24,820,"2,288"
Wellesley,-,D,"1,613",18,564,"2,195"
Wellesley,-,E,"1,553",11,548,"2,112"
Wellesley,-,F,968,7,355,"1,330"
Wellesley,-,G,823,6,249,"1,078"
Wellesley,-,H,"1,480",10,644,"2,134"
TOTALS,,,"68,002",924,"22,533","91,459"
